"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
1.280010739E0;1.783680320E0;-2.466027737E-1;2.663549423E0
1.300191997E0;4.516661644E0;-5.853823423E-1;3.877409697E0
1.320100811E0;8.726864815E0;2.661155224E0;7.316680431E0
1.340010265E0;5.178658485E0;1.352723956E0;3.074155092E0
1.359933128E0;3.178302765E0;-2.992752194E-1;-4.548983276E-1
1.369935939E0;3.766079187E0;-7.972691655E-1;1.101332754E-1
1.379977844E0;4.625597477E0;-1.187524080E0;1.895010591E0
1.390120797E0;6.168660641E0;-7.936778665E-1;4.651933670E0
1.409924761E0;6.020220280E0;-1.013944387E0;7.483077526E0
1.419986755E0;4.619612217E0;-1.800439715E0;6.527791023E0
1.439923001E0;3.536235809E0;-2.370259762E0;2.968810081E0
1.459878062E0;5.821501255E0;-2.689885616E0;3.442862034E0
1.470139406E0;7.351396084E0;-2.523488522E0;4.053383350E0
1.480251078E0;8.977059364E0;-2.313995838E0;4.533421040E0
1.490299914E0;1.002691650E1;-3.818751812E0;5.714959621E0
1.510299041E0;1.109951878E1;-6.581660271E0;6.318298340E0
1.529963072E0;1.502122116E1;-8.744821548E0;6.549338818E0
1.540001911E0;1.828810883E1;-9.126696587E0;7.105990410E0
1.559870290E0;2.743156624E1;-6.597222805E0;9.921571732E0
1.579869885E0;3.268684006E1;-3.348291159E0;1.555512810E1
1.599887283E0;2.745670509E1;-4.574122429E0;1.637514305E1
1.619887383E0;2.063203239E1;-5.930437565E0;1.241034412E1
1.640110908E0;1.526902103E1;-5.742492676E0;8.206126213E0
1.660066789E0;1.258272743E1;-4.730942726E0;6.096834660E0
1.674037769E0;1.054047298E1;-3.610456228E0;4.262876034E0
1.690555750E0;1.054047298E1;-3.610456228E0;4.262876034E0
1.709898750E0;6.829460144E0;-3.488351822E0;1.054645896E0
1.729906750E0;5.774814606E0;-3.070563793E0;3.974374831E-1
1.739933750E0;5.124788761E0;-3.084928989E0;-2.094926536E-1
1.760280750E0;3.971980572E0;-3.483563423E0;-1.054645896E0
1.770467750E0;3.944447279E0;-3.643975019E0;-1.066616893E0
1.790119750E0;3.349488258E0;-3.918111086E0;-1.338358760E0
1.810098750E0;2.384624958E0;-4.596867085E0;-2.328361034E0
1.830090750E0;7.422025204E-1;-6.379350662E0;-3.585317135E0
1.849912750E0;-2.657563984E-1;-8.656236649E0;-3.574543238E0
1.869864750E0;-1.045069098E0;-1.044111347E1;-2.521094322E0
1.879963750E0;-1.282094955E0;-1.113543224E1;-1.945288897E0
1.890177750E0;-1.629254222E0;-1.183932781E1;-1.511938334E0
1.909979750E0;-2.533065319E0;-1.441668510E1;-2.730587006E0
1.920417750E0;-2.387019157E0;-1.508227348E1;-3.300406933E0
1.939908750E0;-1.674744129E0;-1.677736855E1;-4.016273499E0
1.950156750E0;-1.132457376E0;-1.754231644E1;-3.964797974E0
1.969886750E0;3.268085420E-1;-1.936310577E1;-3.345896959E0
1.989975750E0;3.714603901E0;-2.058175468E1;-2.403778553E0
2.009886750E0;8.007407188E0;-1.978089523E1;-1.623268723E0
2.030144750E0;1.319324875E1;-1.748365784E1;6.548141837E-1
2.040217750E0;1.557188797E1;-1.598847866E1;1.460463047E0
2.059969750E0;1.809896851E1;-1.562934875E1;1.349132657E0
2.070155750E0;1.760456467E1;-1.685637665E1;-1.520318091E-1
2.080279750E0;1.688151550E1;-1.849520874E1;-1.731007814E0
2.100000750E0;1.983356667E1;-1.834556961E1;-3.804386616E0
2.119858750E0;2.564549065E1;-1.243907452E1;-3.689464808E0
2.130007750E0;2.800856781E1;-8.628703117E0;-3.117250681E0
2.149976750E0;2.862268066E1;-3.351882458E0;-1.666364431E0
2.160269750E0;2.653733253E1;-2.923320293E0;-1.995567083E0
2.179988750E0;2.077807999E1;-5.038597584E0;-3.113659382E0
2.190195750E0;1.823783112E1;-6.003460884E0;-3.305195332E0
2.209911750E0;1.484764194E1;-6.900089264E0;-2.505532026E0
2.219948750E0;1.381813526E1;-6.609193802E0;-1.788468719E0
2.239805750E0;1.216733265E1;-4.711789131E0;-5.183446407E-1
2.249913750E0;1.094269848E1;-3.681085110E0;-4.740519226E-1
2.259978750E0;9.431957245E0;-2.687491417E0;-9.816226959E-1
2.279871750E0;6.270414352E0;-5.985504389E-1;-9.241618514E-1
2.290237750E0;4.442441463E0;2.121262789E0;6.248866320E-1
2.309868750E0;3.074155092E0;4.214992046E0;1.553836942E0
2.330126750E0;2.333149672E0;5.395333767E0;1.782483220E0
2.349883750E0;2.400187254E0;5.380968094E0;9.026140571E-1
2.359889750E0;2.246958256E0;4.906916618E0;3.938461840E-1
2.369954750E0;2.242169857E0;4.377797604E0;1.616086215E-1
2.384790750E0;2.646790028E0;3.898957491E0;-1.197100850E-3
2.399909750E0;4.477157116E0;3.144783974E0;8.487445116E-1
2.409923750E0;5.950788498E0;2.703053713E0;2.015917778E0
2.419997750E0;8.087613106E0;2.553416014E0;3.264493942E0
2.430709750E0;1.126112747E1;2.513911724E0;3.791218281E0
2.441918750E0;1.565209389E1;1.783680320E0;3.470395327E0
2.459893750E0;2.204820251E1;-5.266046524E0;1.549048543E0
2.479873750E0;2.172378922E1;-1.801038170E1;1.012747288E0
2.489928750E0;2.572090912E1;-2.071223831E1;1.291671872E0
2.509910750E0;3.236840820E1;-2.212960625E1;3.950432688E-2
2.529901750E0;3.132334137E1;-2.306693649E1;-4.848258495E0
2.550155750E0;2.314355087E1;-2.266351318E1;-4.200626850E0
2.569860750E0;1.424909115E1;-2.232234001E1;-1.806425214E0
