"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
9.767500000E-1;6.819931507E0;-1.638495803E0;5.023868084E0
9.886625000E-1;6.493534565E0;-1.550111532E0;5.110519409E0
1.000575000E0;7.079395771E0;-1.182611108E0;5.876989365E0
1.012484375E0;8.451637268E0;-7.906228900E-1;6.808065891E0
1.024396875E0;9.683454514E0;-7.574295998E-1;7.719931126E0
1.036307812E0;1.045258713E1;-5.069865584E-1;8.213146210E0
1.048220312E0;1.144479179E1;2.294028252E-1;8.808478355E0
1.060131250E0;1.171467590E1;6.821655035E-1;8.647138596E0
1.072042187E0;1.130215454E1;6.838223338E-1;7.698163033E0
1.083954687E0;1.120985317E1;6.823378801E-1;7.109840393E0
1.095865625E0;1.116746712E1;4.797022343E-1;7.297392368E0
1.107778125E0;1.096611404E1;1.288942397E-1;7.164380550E0
1.119690625E0;1.124951077E1;1.791054308E-1;6.662345409E0
1.131601562E0;1.107135391E1;6.404968351E-2;5.818542004E0
1.143512500E0;1.013072968E1;-5.136712193E-1;4.621038914E0
1.155423437E0;8.628463745E0;-1.070361376E0;3.797903061E0
1.167340625E0;7.598305702E0;-1.510348678E0;2.926557064E0
1.179246875E0;6.780809879E0;-1.769458771E0;2.162222624E0
1.191160937E0;6.641285419E0;-2.161581039E0;1.944398165E0
1.203070312E0;7.655096054E0;-1.931172609E0;2.130657434E0
1.214981250E0;9.043646812E0;-1.498444676E0;2.257923841E0
1.226893750E0;1.208714676E1;-1.964710712E0;-1.894675493E-1
1.238804687E0;1.532571602E1;-1.217298388E0;-4.950577259E0
1.250717187E0;1.422931576E1;-5.465101004E-1;-2.025398910E-1
1.262628125E0;1.231877136E1;-1.550734043E0;3.152435780E0
1.274539062E0;1.073843575E1;-2.924163103E0;3.971281528E0
1.286451562E0;7.817346096E0;-3.297457218E0;2.511574984E0
1.298362500E0;6.390114784E0;-2.793573618E0;1.232908607E0
1.310273437E0;5.728242874E0;-3.350177765E0;1.386501312E0
1.322185937E0;7.230680466E0;-4.603283882E0;3.093959808E0
1.334096875E0;9.467937469E0;-5.050587177E0;4.245206833E0
1.346029687E0;1.114521027E1;-4.505389690E0;4.310022831E0
1.357920312E0;1.109809208E1;-3.684829473E0;3.542039633E0
1.369834375E0;9.497731209E0;-3.299573898E0;3.964836359E0
1.381743750E0;8.252526283E0;-3.150510788E0;4.028684616E0
1.393656250E0;6.992735386E0;-2.980819225E0;3.496233702E0
1.405567187E0;7.094058037E0;-2.409936190E0;3.252800703E0
1.417478125E0;9.471404076E0;-1.713999391E0;1.778345942E0
1.429412500E0;1.021651840E1;-1.430228949E0;1.729226589E0
1.441301562E0;1.007841110E1;-4.999093339E-2;3.013351917E0
1.453214062E0;1.166972160E1;1.287295222E0;5.142400265E0
1.465142187E0;2.310838509E1;5.264092922E0;-1.358288050E0
1.477037500E0;1.115004635E1;2.746254683E0;1.969048977E0
1.488948437E0;9.219755173E0;3.094256639E0;-6.829795241E-1
1.500864062E0;7.246664524E0;2.176865816E0;-2.137370825E0
1.512771875E0;7.574382782E0;1.840556860E0;9.431622028E-1
1.524682812E0;6.860556126E0;1.735374928E0;-4.865199566E0
