"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
1.002048917E0;-5.429188013E-1;5.521518365E-2;2.128592134E-1
1.012057917E0;-2.337058485E-1;9.565874934E-2;1.862326562E-1
1.022037917E0;1.242356449E-1;1.231383979E-1;1.701205224E-1
1.032046917E0;4.434019327E-1;6.838113815E-2;1.592265964E-1
1.042056917E0;6.820524931E-1;-6.195257977E-2;1.361686587E-1
1.052035917E0;8.540524840E-1;-2.009610683E-1;1.249184012E-1
1.062045917E0;9.522282481E-1;-3.806546926E-1;1.304693222E-1
1.072055917E0;1.009752512E0;-4.639852941E-1;2.148944438E-1
1.082065917E0;1.009917021E0;-5.727897286E-1;3.708080053E-1
1.092044917E0;9.232987761E-1;-7.510891557E-1;4.881327748E-1
1.102054917E0;7.925455570E-1;-1.012286305E0;5.616609454E-1
1.112064917E0;6.832534075E-1;-1.132598877E0;6.123180389E-1
1.122043917E0;5.705521703E-1;-1.201394677E0;6.923370361E-1
1.132053917E0;4.380691946E-1;-1.279109716E0;7.862020731E-1
1.142062917E0;3.497866094E-1;-1.226708055E0;8.198099732E-1
1.152072917E0;2.430590987E-1;-1.197511315E0;7.684858441E-1
1.162051917E0;2.982817963E-2;-1.255528808E0;5.482800007E-1
1.172061917E0;-1.074081846E-2;-1.664103746E0;1.866472065E-1
1.182071917E0;-1.063484102E-1;-2.181458950E0;1.107985899E-1
1.192050917E0;-5.744711161E-1;-2.001587629E0;1.740545183E-1
1.202060917E0;-1.061260223E0;-1.640444160E0;2.258453220E-1
1.212070917E0;-1.065331459E0;-1.873591900E0;4.687546492E-1
1.222049917E0;-9.608397484E-1;-2.004423857E0;9.458085299E-1
1.232059917E0;-7.124887705E-1;-1.935877323E0;1.302304626E0
1.242068917E0;-5.319586992E-1;-2.037419319E0;1.602072239E0
1.252078917E0;-4.301553071E-1;-2.139205456E0;1.869796157E0
1.262057917E0;-3.008423746E-1;-2.098768950E0;2.151358366E0
1.272067917E0;-6.610708684E-2;-2.036046982E0;2.359769106E0
1.282077917E0;1.703107357E-1;-1.963793516E0;2.113198519E0
1.292056917E0;4.141047597E-1;-2.327948093E0;1.424827218E0
1.302066917E0;8.098549843E-1;-2.898538589E0;8.118577600E-1
1.312076917E0;1.273388863E0;-3.244855881E0;6.794427633E-1
1.322055917E0;1.357153535E0;-3.417141438E0;8.736835122E-1
1.332065917E0;9.756410718E-1;-3.427561998E0;1.248991013E0
1.342075917E0;4.345124662E-1;-3.329320669E0;1.753873110E0
1.352084917E0;6.905219518E-3;-3.188951731E0;2.380409479E0
1.362064917E0;-3.327371776E-1;-3.167115927E0;3.064709187E0
1.372073917E0;-5.816628337E-1;-3.301758051E0;3.499910116E0
1.382083917E0;-5.729389191E-1;-3.481059313E0;3.481172085E0
1.392062917E0;-3.972378969E-1;-3.671622276E0;2.994877577E0
1.402072917E0;-2.553133667E-1;-3.874232054E0;2.400745869E0
1.412082917E0;-1.696469486E-1;-3.728426218E0;2.223594666E0
1.422092917E0;-2.184454799E-1;-3.170819521E0;2.477201700E0
1.432071917E0;-3.939373791E-1;-2.489071846E0;2.904395103E0
1.442081917E0;-5.408805609E-1;-1.959948659E0;3.276377439E0
1.452090917E0;-6.631263494E-1;-1.908555984E0;3.480770350E0
1.462070917E0;-7.322099805E-1;-2.304438353E0;3.457103014E0
1.472079917E0;-6.891021729E-1;-2.723362923E0;3.117769003E0
1.482089917E0;-5.804570913E-1;-2.953771353E0;2.512481213E0
1.492068917E0;-4.083945453E-1;-2.769155741E0;1.932297230E0
1.502078917E0;-1.887259930E-1;-2.047141075E0;1.657127738E0
1.512088917E0;-4.000895098E-2;-1.170994401E0;1.560883999E0
1.522098917E0;1.047125012E-1;-5.773285627E-1;1.480690837E0
1.532077917E0;2.517951727E-1;-2.531661987E-1;1.374767303E0
1.542087917E0;3.161263466E-1;-6.259426475E-2;1.210902452E0
1.552097917E0;2.703239620E-1;2.694814205E-1;1.005904794E0
1.562076917E0;5.867682397E-2;6.096993089E-1;7.942025661E-1
1.572086917E0;-2.530387044E-1;8.522344232E-1;3.872041702E-1
1.582095917E0;-3.408396542E-1;8.021917939E-1;3.218049183E-2
1.592105917E0;-2.059646547E-1;7.487567663E-1;-2.112486809E-1
1.602084917E0;2.486532927E-2;8.046458960E-1;-2.983784378E-1
1.612094917E0;2.326896340E-1;8.162612319E-1;-2.563987672E-1
1.622104917E0;4.566348195E-1;8.762081861E-1;-2.786364257E-1
1.632083917E0;7.883528471E-1;6.366448998E-1;-2.253862619E-1
1.642093917E0;1.126697659E0;8.363895118E-2;-2.166734636E-1
1.652103917E0;1.354488134E0;-3.667692244E-1;-2.391529381E-1
1.662082917E0;1.492868900E0;-6.191461086E-1;-2.131229490E-1
1.672092917E0;1.593883157E0;-7.822780013E-1;-1.764799803E-1
1.682101917E0;1.624045849E0;-9.395805597E-1;-1.287550628E-1
1.692111917E0;1.527524114E0;-9.812483788E-1;-4.639494047E-2
1.702090917E0;1.339265227E0;-8.255140185E-1;1.190155447E-1
1.712100917E0;1.092633605E0;-4.350623190E-1;3.215191364E-1
1.722110917E0;8.173120618E-1;-1.078854427E-1;3.499965370E-1
1.732089917E0;7.168800235E-1;1.793400012E-2;4.111866653E-1
1.742099917E0;8.120216727E-1;-4.568708837E-1;5.262933969E-1
1.752109917E0;1.173088670E0;-9.490579367E-1;5.810932517E-1
