"Time (s)";"X (hPa)"
1.774684477E2;9.922438812E2
1.784242837E2;9.922406769E2
1.793801097E2;9.922315979E2
1.803359367E2;9.922250366E2
1.812918567E2;9.922167206E2
1.822479987E2;9.922079468E2
1.832042127E2;9.922079468E2
1.841604807E2;9.922096252E2
1.851168107E2;9.922096252E2
1.860731597E2;9.922082520E2
1.870295677E2;9.922015381E2
1.879859347E2;9.921939850E2
1.889423367E2;9.921872711E2
1.898987217E2;9.921831512E2
1.908551307E2;9.921831512E2
1.918116297E2;9.921875000E2
1.927682477E2;9.921997070E2
1.937248667E2;9.922069550E2
1.946815377E2;9.922100067E2
1.956382197E2;9.922212219E2
1.965949257E2;9.922310638E2
1.975517537E2;9.922402191E2
1.985086127E2;9.922496033E2
1.994654057E2;9.922640991E2
2.004223907E2;9.922729492E2
2.013793367E2;9.922801208E2
2.023362897E2;9.922894287E2
2.032932767E2;9.923069763E2
2.042501017E2;9.923119354E2
2.052065837E2;9.923167419E2
2.061632217E2;9.923249054E2
2.071199487E2;9.923258972E2
2.080768647E2;9.923297882E2
2.090336597E2;9.923297882E2
2.099904307E2;9.923258972E2
2.109473827E2;9.923250580E2
2.119044557E2;9.923232269E2
2.128615087E2;9.923198700E2
2.138185737E2;9.923198700E2
2.147755277E2;9.923229980E2
2.157322447E2;9.923273468E2
2.166889427E2;9.923329163E2
2.176456747E2;9.923350525E2
2.186025007E2;9.923461151E2
2.195592317E2;9.923516846E2
2.205159527E2;9.923542786E2
2.214727807E2;9.923542786E2
2.224296107E2;9.923548126E2
2.233864767E2;9.923537445E2
2.243435137E2;9.923532867E2
2.253007017E2;9.923501587E2
2.262579657E2;9.923497009E2
2.272152717E2;9.923477173E2
2.281726157E2;9.923454285E2
2.291297737E2;9.923377228E2
2.300868537E2;9.923265839E2
2.310439827E2;9.923186493E2
2.320010937E2;9.923110199E2
2.329583967E2;9.923105621E2
2.339158267E2;9.923105621E2
2.348733587E2;9.923161316E2
2.358309467E2;9.923207092E2
2.367885187E2;9.923274231E2
2.377461347E2;9.923277283E2
2.387036997E2;9.923339844E2
2.396613097E2;9.923343658E2
2.406189287E2;9.923345947E2
2.415765757E2;9.923381805E2
2.425342257E2;9.923406219E2
2.434919047E2;9.923445892E2
2.444496517E2;9.923445892E2
2.454074347E2;9.923468018E2
2.463652027E2;9.923468781E2
2.473230017E2;9.923524475E2
2.482807997E2;9.923532867E2
2.492386247E2;9.923562622E2
2.501967677E2;9.923573303E2
2.511549757E2;9.923637390E2
2.521131797E2;9.923637390E2
2.530714767E2;9.923642731E2
2.540297427E2;9.923678589E2
2.549880877E2;9.923712158E2
2.559464617E2;9.923728943E2
2.569050937E2;9.923712158E2
2.578638417E2;9.923728943E2
2.588226127E2;9.923753357E2
2.597813857E2;9.923766327E2
2.607402007E2;9.923767090E2
2.616991677E2;9.923827362E2
2.626581317E2;9.923846436E2
2.636171307E2;9.923921204E2
2.645761267E2;9.923921204E2
2.655351377E2;9.923913574E2
2.664942357E2;9.923910522E2
2.674532517E2;9.923841095E2
2.684124307E2;9.923793030E2
2.693716287E2;9.923743439E2
2.703307077E2;9.923680878E2
2.712896537E2;9.923629761E2
2.722486677E2;9.923605347E2
2.732078857E2;9.923593903E2
2.741672397E2;9.923593903E2
2.751266367E2;9.923645782E2
2.760860347E2;9.923667908E2
2.770453997E2;9.923693085E2
2.780047557E2;9.923701477E2
2.789642027E2;9.923748779E2
2.799236517E2;9.923767090E2
2.808829247E2;9.923767090E2
2.818421977E2;9.923751068E2
2.828014667E2;9.923751068E2
2.837607287E2;9.923764038E2
