"Time (s)";"X (hPa)"
3.040288242E2;9.894503021E2
3.049914883E2;9.894873810E2
3.059540752E2;9.895191193E2
3.069165992E2;9.895375061E2
3.078793862E2;9.895375061E2
3.088420913E2;9.895346069E2
3.098048372E2;9.895154572E2
3.107676392E2;9.894901276E2
3.117304082E2;9.894605255E2
3.126931252E2;9.894301605E2
3.136558373E2;9.894011688E2
3.146186722E2;9.893750000E2
3.155817002E2;9.893605042E2
3.165448533E2;9.893605042E2
3.175080902E2;9.893723297E2
3.184713042E2;9.893984985E2
3.194345432E2;9.894351196E2
3.203978362E2;9.894725800E2
3.213611652E2;9.895085144E2
3.223244572E2;9.895381927E2
3.232878212E2;9.895538330E2
3.242511242E2;9.895538330E2
3.252144622E2;9.895500183E2
3.261777952E2;9.895281982E2
3.271411373E2;9.895001221E2
3.281045262E2;9.894730377E2
3.290679732E2;9.894429779E2
3.300315322E2;9.894135284E2
3.309951502E2;9.893892670E2
3.319588092E2;9.893811798E2
3.329223712E2;9.893811798E2
3.338859642E2;9.893969727E2
3.348496192E2;9.894239044E2
3.358132592E2;9.894606781E2
3.367771012E2;9.894958496E2
3.377411912E2;9.895291138E2
3.387053392E2;9.895503235E2
3.396695572E2;9.895579529E2
3.406338202E2;9.895579529E2
3.415978692E2;9.895448303E2
3.425619532E2;9.895195770E2
3.435261902E2;9.894922638E2
3.444904292E2;9.894605255E2
3.454546482E2;9.894306946E2
3.464186802E2;9.894018555E2
3.473827672E2;9.893762970E2
3.483471262E2;9.893682861E2
3.493116452E2;9.893682861E2
3.502761922E2;9.893817139E2
3.512407652E2;9.894071960E2
3.522051482E2;9.894416809E2
3.531694402E2;9.894754028E2
3.541337552E2;9.895082855E2
3.550982262E2;9.895351410E2
3.560628322E2;9.895507812E2
3.570275232E2;9.895507812E2
3.579921982E2;9.895462799E2
3.589568592E2;9.895291901E2
3.599215232E2;9.895058441E2
3.608862402E2;9.894821167E2
3.618507652E2;9.894566345E2
3.628153392E2;9.894284821E2
3.637798852E2;9.894026184E2
3.647445972E2;9.893856812E2
3.657095402E2;9.893856812E2
3.666744542E2;9.893899536E2
3.676393082E2;9.894110870E2
3.686042302E2;9.894409180E2
3.695692702E2;9.894765472E2
3.705343432E2;9.895104218E2
3.714994602E2;9.895422363E2
3.724645922E2;9.895591736E2
3.734295672E2;9.895591736E2
3.743945773E2;9.895529175E2
3.753596172E2;9.895236206E2
3.763246902E2;9.894832611E2
3.772897342E2;9.894400024E2
3.782548432E2;9.894020081E2
3.792200012E2;9.893643188E2
3.801851602E2;9.893415070E2
3.811503872E2;9.893367004E2
3.821155722E2;9.893367004E2
3.830807582E2;9.893518066E2
3.840457902E2;9.893792725E2
3.850111322E2;9.894138336E2
3.859764332E2;9.894489288E2
3.869418423E2;9.894845581E2
3.879073492E2;9.895146179E2
3.888729363E2;9.895305634E2
3.898384702E2;9.895305634E2
3.908040022E2;9.895253754E2
3.917696872E2;9.895046234E2
3.927353383E2;9.894744873E2
3.937009822E2;9.894419861E2
3.946666232E2;9.894110870E2
3.956323372E2;9.893781281E2
3.965978592E2;9.893539429E2
3.975633992E2;9.893521881E2
3.985289542E2;9.893521881E2
3.994945252E2;9.893709564E2
4.004601362E2;9.894035339E2
4.014259993E2;9.894387054E2
4.023920932E2;9.894754791E2
4.033583372E2;9.895070648E2
4.043246702E2;9.895288086E2
4.052910012E2;9.895355225E2
4.062573503E2;9.895355225E2
4.072236672E2;9.895204926E2
4.081900872E2;9.894957733E2
4.091565912E2;9.894648743E2
4.101230702E2;9.894337463E2
4.110897542E2;9.894068146E2
4.120562243E2;9.893847656E2
4.130225712E2;9.893714142E2
4.139891232E2;9.893714142E2
4.149558932E2;9.893827820E2
4.159226722E2;9.894042206E2
4.168894852E2;9.894338226E2
4.178563512E2;9.894693756E2
4.188232642E2;9.895046234E2
4.197901982E2;9.895347595E2
4.207571593E2;9.895571136E2
4.217240452E2;9.895623779E2
4.226907472E2;9.895623779E2
4.236576842E2;9.895434570E2
4.246246502E2;9.895107269E2
4.255916372E2;9.894712067E2
4.265586572E2;9.894350433E2
4.275255592E2;9.894002533E2
4.284923992E2;9.893705750E2
4.294593192E2;9.893581390E2
4.304265212E2;9.893581390E2
4.313937392E2;9.893664551E2
4.323608482E2;9.893898010E2
4.333277912E2;9.894209290E2
4.342947822E2;9.894557953E2
4.352618302E2;9.894894409E2
4.362290132E2;9.895189667E2
4.371964682E2;9.895341492E2
4.381638373E2;9.895341492E2
4.391312662E2;9.895294189E2
4.400987202E2;9.895079041E2
4.410661942E2;9.894799042E2
4.420336012E2;9.894503784E2
4.430010812E2;9.894221497E2
4.439683562E2;9.893957520E2
4.449357422E2;9.893766785E2
4.459029312E2;9.893686676E2
4.468701003E2;9.893686676E2
4.478372462E2;9.893829346E2
4.488044232E2;9.894078064E2
4.497718232E2;9.894394684E2
4.507391292E2;9.894760895E2
4.517064832E2;9.895133972E2
4.526737512E2;9.895428467E2
4.536410723E2;9.895626831E2
4.546083632E2;9.895667267E2
4.555757162E2;9.895667267E2
4.565430493E2;9.895484161E2
4.575103792E2;9.895237732E2
4.584777372E2;9.894950867E2
4.594451022E2;9.894640350E2
4.604125922E2;9.894340515E2
4.613800052E2;9.894056702E2
4.623474522E2;9.893853760E2
4.633149542E2;9.893804169E2
4.642824782E2;9.893804169E2
4.652500832E2;9.893951416E2
4.662175822E2;9.894210815E2
4.671850712E2;9.894514465E2
4.681525273E2;9.894844818E2
4.691199742E2;9.895162201E2
4.700873362E2;9.895454407E2
4.710546212E2;9.895652771E2
4.720218882E2;9.895679474E2
4.729890672E2;9.895679474E2
4.739562962E2;9.895516205E2
4.749236502E2;9.895293427E2
4.758911902E2;9.895014954E2
4.768586942E2;9.894715118E2
4.778262622E2;9.894411469E2
4.787938332E2;9.894134521E2
4.797614902E2;9.893905640E2
4.807291512E2;9.893862915E2
4.816968442E2;9.893862915E2
4.826645213E2;9.894017029E2
4.836321842E2;9.894284058E2
4.845999442E2;9.894631195E2
4.855676712E2;9.894992065E2
4.865354552E2;9.895351410E2
4.875033932E2;9.895631409E2
4.884713263E2;9.895789337E2
4.894393282E2;9.895789337E2
4.904070902E2;9.895685577E2
4.913747633E2;9.895447540E2
4.923425142E2;9.895149994E2
4.933104812E2;9.894851685E2
4.942784552E2;9.894559479E2
4.952465522E2;9.894245148E2
4.962145792E2;9.894009399E2
4.971826882E2;9.893914032E2
4.981505292E2;9.893914032E2
4.991184092E2;9.894042969E2
5.000861823E2;9.894304657E2
5.010540642E2;9.894649506E2
5.020219433E2;9.894995117E2
5.029898612E2;9.895320892E2
5.039576652E2;9.895590973E2
5.049255452E2;9.895735168E2
5.058934262E2;9.895735168E2
5.068614002E2;9.895658875E2
5.078295422E2;9.895425415E2
5.087976162E2;9.895104980E2
5.097655882E2;9.894763184E2
5.107335052E2;9.894400024E2
5.117014252E2;9.894041443E2
5.126692382E2;9.893733215E2
5.136370612E2;9.893594360E2
5.146048792E2;9.893594360E2
5.155726612E2;9.893765259E2
5.165404552E2;9.894071960E2
5.175082483E2;9.894465637E2
5.184760313E2;9.894860077E2
5.194437892E2;9.895216370E2
5.204116062E2;9.895510864E2
5.213794232E2;9.895662689E2
5.223474242E2;9.895662689E2
5.233155142E2;9.895611572E2
5.242836602E2;9.895409393E2
5.252516792E2;9.895137787E2
5.262198342E2;9.894812012E2
5.271879822E2;9.894444275E2
5.281560422E2;9.894100189E2
5.291240872E2;9.893796539E2
5.300921962E2;9.893621063E2
5.310603882E2;9.893621063E2
5.320285762E2;9.893795776E2
5.329966952E2;9.894113159E2
5.339646392E2;9.894519806E2
5.349324692E2;9.894937134E2
5.359002852E2;9.895314789E2
5.368681352E2;9.895597076E2
5.378356002E2;9.895747375E2
5.388030832E2;9.895747375E2
5.397705652E2;9.895652008E2
5.407381082E2;9.895410156E2
5.417056762E2;9.895059967E2
5.426733062E2;9.894712067E2
5.436408432E2;9.894358826E2
5.446083203E2;9.894020844E2
5.455758552E2;9.893756866E2
5.465433672E2;9.893650055E2
5.475111512E2;9.893650055E2
5.484790412E2;9.893830109E2
5.494468212E2;9.894139099E2
5.504147662E2;9.894513702E2
5.513829322E2;9.894921875E2
5.523510522E2;9.895291138E2
5.533189552E2;9.895613098E2
5.542869012E2;9.895780945E2
5.552548042E2;9.895780945E2
5.562227042E2;9.895742798E2
5.571905522E2;9.895534515E2
5.581584582E2;9.895194244E2
5.591262922E2;9.894820404E2
5.600943222E2;9.894428253E2
5.610622312E2;9.894049835E2
5.620302422E2;9.893743896E2
5.629982102E2;9.893549347E2
5.639661762E2;9.893549347E2
5.649342102E2;9.893584442E2
5.659022382E2;9.893820190E2
5.668702992E2;9.894133759E2
5.678383862E2;9.894489288E2
5.688064153E2;9.894873810E2
5.697744212E2;9.895220184E2
5.707424682E2;9.895427704E2
5.717106922E2;9.895516205E2
5.726789562E2;9.895516205E2
5.736472602E2;9.895357513E2
5.746155302E2;9.895091248E2
5.755838882E2;9.894795990E2
5.765521312E2;9.894491577E2
5.775202772E2;9.894210815E2
5.784885602E2;9.893962860E2
5.794568712E2;9.893803406E2
5.804251242E2;9.893802643E2
5.813933532E2;9.893802643E2
5.823615792E2;9.893966675E2
5.833297662E2;9.894253540E2
5.842979252E2;9.894574738E2
5.852661132E2;9.894942474E2
5.862343852E2;9.895270538E2
5.872026042E2;9.895506287E2
5.881707532E2;9.895610046E2
5.891386792E2;9.895610046E2
5.901067122E2;9.895441437E2
5.910749592E2;9.895168304E2
5.920432612E2;9.894855499E2
5.930115722E2;9.894541931E2
5.939798782E2;9.894261169E2
5.949481592E2;9.893993378E2
5.959164962E2;9.893804169E2
5.968848782E2;9.893801880E2
5.978531532E2;9.893801880E2
5.988213772E2;9.893964386E2
5.997895112E2;9.894235229E2
6.007578243E2;9.894558716E2
6.017261222E2;9.894886017E2
6.026943102E2;9.895207977E2
6.036623552E2;9.895483398E2
6.046303502E2;9.895687866E2
6.055984973E2;9.895833588E2
6.065665672E2;9.895915222E2
6.075346342E2;9.895918274E2
6.085027262E2;9.895921326E2
6.094708162E2;9.895924377E2
6.104388162E2;9.895924377E2
6.114069982E2;9.895912170E2
6.123751972E2;9.895888519E2
6.133435692E2;9.895836639E2
