"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
1.095865625E0;7.615917683E0;5.591227412E-1;7.248253822E0
1.107779688E0;7.345439434E0;-6.245514750E-1;5.573586464E0
1.119689063E0;8.275587082E0;-6.970095634E-1;5.150263309E0
1.131604688E0;7.721731663E0;-6.010786891E-1;5.389118195E0
1.143514063E0;7.342882156E0;-1.575815678E0;6.442509174E0
1.155425000E0;7.008278370E0;-1.432565808E0;6.929777145E0
1.167335938E0;7.108164787E0;-8.617498279E-1;6.621519089E0
1.179246875E0;7.705929756E0;-1.244027257E0;6.875257015E0
1.191159375E0;7.732572079E0;-1.445101857E0;6.636669636E0
1.203070313E0;8.616224289E0;-1.494326711E0;5.683461189E0
1.214981250E0;9.217896461E0;-5.036442280E-1;4.174261570E0
1.226893750E0;9.729087830E0;8.696507215E-1;1.989303827E0
1.238804688E0;9.335816383E0;1.588495374E0;8.163940310E-1
1.250715625E0;9.809657097E0;2.473928690E0;-4.721365869E-3
1.262628125E0;1.015338802E1;3.493207216E0;-7.259889841E-1
1.274539063E0;1.056363964E1;4.013438702E0;-1.474493027E0
1.286470313E0;1.053632641E1;4.103929520E0;-1.787874937E0
1.298364063E0;1.004570580E1;3.469217539E0;-1.942932963E0
1.310275000E0;1.173713303E1;3.953516483E0;-1.648963332E0
1.322187500E0;1.357573605E1;2.959242821E0;-6.870400906E-1
1.334098438E0;1.317763901E1;-1.540256977E0;-3.170306087E-1
1.346010938E0;1.303808498E1;-3.042302608E0;-1.536579490E0
1.357921875E0;1.313187981E1;1.485266984E-1;-4.703179359E0
1.369832813E0;1.392456245E1;2.942847490E0;-6.187383533E-1
1.381743750E0;1.273497009E1;1.202042460E0;8.214832306E0
1.393656250E0;1.327168274E1;-5.790903568E-1;1.138350010E1
1.405571875E0;1.346273994E1;9.015892744E-1;2.804673195E0
1.417489063E0;1.410503674E1;-9.474430680E-1;3.023915052E0
1.429392188E0;1.344516563E1;-3.150769472E0;3.469255686E0
1.441303125E0;1.037246704E1;-6.148788452E0;1.249442863E1
1.453214063E0;5.835349560E0;-1.010448933E1;1.416325474E1
1.465126563E0;4.196930408E0;-1.106292534E1;1.089088821E1
1.477037500E0;4.924901962E0;-8.331141472E0;7.069972038E0
1.488950000E0;5.467590332E0;-6.206450462E0;3.607899189E0
1.500860938E0;6.143885136E0;-4.324627399E0;-4.617773533E0
1.512773438E0;6.303023338E0;-2.274003267E0;-9.393535614E0
1.524684375E0;6.146605492E0;-4.549270570E-1;-5.197017193E0
1.536595313E0;5.528758049E0;-6.618244052E-1;-1.516228795E0
1.548507813E0;5.879144192E0;-1.575834870E0;-1.661863178E-1
1.560418750E0;4.628317356E0;-4.668386936E0;8.029003143E-1
1.572329688E0;7.334282875E0;-7.417620182E0;9.487742931E-2
1.584242188E0;1.041807270E1;-7.494541168E0;1.824314713E0
1.596153125E0;9.452183723E0;-5.676498890E0;3.119568110E0
1.608065625E0;1.208263588E1;-2.969777346E0;1.173015118E0
1.619976563E0;1.366575909E1;-2.604824543E0;-2.693247080E0
1.631887500E0;1.227460289E1;-4.907375813E0;-3.360990047E0
1.643810938E0;9.476575851E0;-6.274800301E0;-2.774228573E0
1.655710938E0;7.173152924E0;-5.892197132E0;-3.228341579E0
1.667623438E0;5.822124004E0;-5.021685123E0;-3.215633154E0
1.679534375E0;4.504173279E0;-4.784074783E0;-2.508146524E0
1.691446875E0;3.236137152E0;-5.248415470E0;-2.099590302E0
1.703376563E0;2.520404816E0;-6.331590652E0;-3.669219494E0
1.715268750E0;4.053431511E0;-5.135792255E0;-5.284137249E0
1.727179688E0;6.065853596E0;-4.438696861E0;-4.832829952E0
1.739092188E0;5.628097534E0;-5.774019718E0;-5.051957369E-1
1.751004688E0;3.880244493E0;-7.450717449E0;5.073188782E0
1.762918750E0;2.627387524E0;-7.954332829E0;8.058911324E0
1.774826563E0;3.372462988E0;-6.981779099E0;6.882247448E0
1.786742188E0;4.813705444E0;-6.369783401E0;3.911512613E0
1.798650000E0;5.649875641E0;-6.701179028E0;4.707479477E0
1.810562500E0;5.461892605E0;-7.590184689E0;1.013446450E0
1.822506250E0;6.820650101E0;-1.818112755E1;6.116610765E-1
1.834385938E0;8.814876080E-1;-2.715943146E1;1.726363063E0
1.846295313E0;-6.418174744E0;-2.966106606E1;6.465407848E0
1.858207813E0;-8.986042023E0;-2.181915474E1;9.775276184E0
1.870120313E0;-7.540116787E0;-1.389027691E1;7.347517490E0
1.882031250E0;-6.443945885E0;-8.448390961E0;3.789236069E0
1.893943750E0;-4.108909607E0;-5.162990570E0;7.381323576E-1
1.905856250E0;-2.001341820E0;-4.012710571E0;1.411142498E-1
1.917767188E0;-1.522721767E0;-4.316946983E0;4.751532674E-1
1.929678125E0;-1.711413741E0;-5.074462414E0;8.973755240E-1
1.941589063E0;-2.050863504E0;-5.984182835E0;1.558903098E0
1.953500000E0;-2.021922588E0;-6.573280811E0;1.976049542E0
1.965412500E0;-2.065554380E0;-7.355237007E0;2.197293043E0
1.977325000E0;-2.561144590E0;-8.563599586E0;2.167566538E0
1.989235938E0;-3.230496407E0;-9.917414665E0;2.135608673E0
2.001146875E0;-3.426772833E0;-1.085323238E1;1.993096352E0
2.013059375E0;-2.886449575E0;-1.067937469E1;1.656059742E0
2.024970313E0;-2.724218607E0;-1.027985954E1;1.483121753E0
2.036881250E0;-2.313153028E0;-9.619682312E0;1.617675900E0
2.048793750E0;-1.674715281E0;-8.700078964E0;1.265019536E0
2.060704688E0;-1.320459723E0;-8.068852425E0;9.437081218E-1
2.072621875E0;-9.077951312E-1;-7.504452705E0;7.019990683E-1
2.084531250E0;-5.904963613E-1;-7.330442429E0;6.775686741E-1
2.096439063E0;-7.884393334E-1;-7.994143486E0;1.010180712E0
2.108351563E0;-1.110775471E0;-9.207716942E0;1.381052136E0
2.120262500E0;-1.170630574E0;-1.036883831E1;1.503721476E0
2.132175000E0;-1.133941770E0;-1.119051743E1;1.353518844E0
2.144085938E0;-8.314008713E-1;-1.126274586E1;7.963976860E-1
2.155998438E0;-5.654912591E-1;-1.084384632E1;7.854800820E-1
2.167909375E0;-6.560495496E-1;-1.068444157E1;1.452389717E0
2.179820313E0;-6.198300719E-1;-1.053811741E1;1.934514999E0
2.191732813E0;-3.818272948E-1;-1.038505077E1;2.097904682E0
2.203643750E0;-1.797758192E-1;-1.032139397E1;2.172287941E0
2.215556250E0;-6.042964756E-3;-1.036500645E1;1.966032267E0
2.227467188E0;2.656127214E-1;-1.033938885E1;1.685201883E0
2.239384375E0;-2.644730806E-1;-1.047777367E1;1.120955706E0
2.251290625E0;-5.868954659E-1;-1.072467327E1;6.846650839E-1
2.263207813E0;-8.679747581E-1;-1.060248280E1;5.555027127E-1
2.275114063E0;-8.045283556E-1;-1.007939720E1;5.069195032E-1
2.287025000E0;-6.496523023E-1;-9.633042336E0;8.694686890E-1
2.298968750E0;-6.595451236E-1;-9.491659164E0;1.133204341E0
2.310848438E0;-3.623768091E-1;-9.399386406E0;8.722842932E-1
2.322762500E0;-1.972630620E-1;-9.509596825E0;1.205480576E0
2.334671875E0;-4.141681492E-1;-9.527534485E0;2.716729403E0
2.346590625E0;-3.628460765E-1;-8.915699959E0;3.753323078E0
2.358496875E0;-8.793711662E-1;-9.940150261E0;2.958658695E0
2.370407813E0;-1.081949353E0;-8.806477547E0;1.685517907E0
2.382318750E0;-1.342218280E0;-9.345938683E0;7.049295902E-1
2.394234375E0;-1.506240219E-1;-1.020171261E1;1.824247718E0
2.406140625E0;-3.848440051E-1;-9.880668640E0;3.350742579E0
2.418057813E0;-3.053756356E-1;-1.036396313E1;2.180543184E0
2.429964063E0;2.167413235E0;-8.299327850E0;6.558963656E-1
2.441876563E0;5.150789618E-1;-8.810604095E0;6.957646012E-1
2.453787500E0;-1.119739413E0;-9.618408203E0;5.730952621E-1
2.465698438E0;-1.468584180E0;-9.493784904E0;1.047702670E0
2.477612500E0;-9.062244892E-1;-9.024742126E0;1.753350496E0
2.489521875E0;-6.332280040E-1;-9.741738319E0;2.631706476E0
2.501432813E0;-1.054502204E-1;-1.045636082E1;2.844646692E0
2.513345313E0;1.069901705E0;-1.093372536E1;2.977802753E0
2.525257813E0;1.724945664E0;-1.076484776E1;3.947301388E0
2.537170313E0;1.137159705E0;-1.086188984E1;3.996085405E0
2.549081250E0;-1.219223216E-1;-1.056570816E1;4.247830868E0
2.560992188E0;-1.382804632E0;-9.984644890E0;3.947483063E0
2.572903125E0;-3.044667959E0;-9.725093842E0;2.517244577E0
2.584814063E0;-3.755468369E0;-8.593680382E0;1.460530043E0
2.596726563E0;-4.530950069E0;-8.151825905E0;7.444722056E-1
2.608639063E0;-4.587587357E0;-7.784440517E0;-7.212293148E-2
2.620550000E0;-4.260108471E0;-8.262859344E0;-2.632760108E-1
2.632460938E0;-3.611423254E0;-8.504090309E0;-1.590324491E-1
2.644375000E0;-3.027171135E0;-8.772268295E0;4.361373484E-1
2.656290625E0;-2.721508265E0;-1.016583824E1;1.913733244E0
2.668201563E0;-1.850411534E0;-1.005687332E1;1.826124668E0
2.680107813E0;-1.252914429E0;-9.947926521E0;1.924602985E0
2.692018750E0;-1.142867446E0;-9.840446472E0;2.056188345E0
2.703929688E0;-1.422040939E0;-9.509137154E0;1.806089997E0
2.715842188E0;-2.008103132E0;-9.342720985E0;7.842542529E-1
2.727754688E0;-2.233828545E0;-8.783818245E0;-5.175976753E-1
2.739665625E0;-2.530259371E0;-8.161613464E0;-1.084123254E0
2.751576563E0;-2.835855246E0;-7.796641350E0;-1.142014980E0
2.763489063E0;-3.054512978E0;-7.815153122E0;-3.939515352E-1
2.775423438E0;-3.353108168E0;-7.690463543E0;2.220775366E0
2.787310938E0;-4.275555611E0;-8.531756401E0;3.028904438E0
2.799223438E0;-5.199746609E0;-8.832717896E0;2.349592924E0
2.811134375E0;-5.395927429E0;-7.810355186E0;4.541513324E-1
2.823046875E0;-5.019654751E0;-7.084193707E0;-2.358968496E0
2.834964063E0;-5.375902176E0;-7.709539890E0;-5.170661449E0
2.846868750E0;-5.670350552E0;-8.896556854E0;-6.187948227E0
2.858781250E0;-4.261669636E0;-7.755566597E0;-3.668750286E0
2.870692188E0;-3.823185682E0;-6.605870724E0;-7.122462988E-1
2.882604688E0;-2.454200506E0;-7.710315704E0;-5.737369657E-1
2.894515625E0;-1.478113055E0;-8.828964233E0;-5.483200550E-1
2.906434375E0;-1.551797032E0;-9.610928535E0;-1.692920923E0
2.918339063E0;-2.390122175E0;-9.643882751E0;-2.026787519E0
2.930250000E0;-3.227010489E0;-9.129281998E0;-1.675950766E0
2.942162500E0;-5.373086452E0;-8.959170341E0;-3.587376177E-1
2.954076563E0;5.724057555E-2;-5.193856239E0;6.102916241E0
2.965985938E0;-1.977926612E0;-6.597787380E0;4.033118725E0
2.977896875E0;-5.314744473E0;-9.535147667E0;-1.557370782E0
2.989807813E0;-7.603457928E0;-1.211168289E1;-4.545353413E0
3.001720313E0;-8.553314209E0;-1.198123646E1;-2.270928860E0
3.013637500E0;-8.301396370E0;-9.257218361E0;1.361467481E0
3.025543750E0;-7.075498104E0;-8.156288147E0;-1.582088508E-2
3.037454688E0;-5.199296474E0;-8.296790123E0;-2.148700237E0
3.049367188E0;-3.671134710E0;-7.539111137E0;-2.718807697E0
3.061278125E0;-3.653139830E0;-7.489398003E0;1.278733492E0
3.073190625E0;-8.363396645E0;-1.247625160E1;5.722956181E0
3.085103125E0;-1.064547253E1;-1.402012920E1;7.913229465E0
3.097012500E0;-9.788712502E0;-1.312577057E1;5.895539761E0
3.108925000E0;-8.221572876E0;-1.304135036E1;4.989708066E-1
3.120835938E0;-6.932660103E0;-1.313386250E1;-6.883282185E0
3.132775000E0;-5.418767929E0;-1.217274380E1;-1.190886402E1
3.144659375E0;-3.552028179E0;-1.151518154E1;-4.088750839E0
3.156570313E0;-1.678603530E0;-1.112652493E1;1.993412375E-1
3.168482813E0;-4.198970318E0;-1.195995712E1;1.278225899E0
3.180393750E0;-5.256546497E0;-1.158607769E1;4.821577549E0
3.192304688E0;-6.015929699E0;-1.130206871E1;4.445591927E0
3.204217188E0;-5.721538544E0;-9.462565422E0;-6.200886965E-1
3.216128125E0;-4.545650482E0;-8.082374573E0;-6.411768198E-1
3.228039063E0;-4.088837147E0;-8.055109978E0;1.302254200E0
3.239951563E0;-3.548005819E0;-8.506032944E0;2.092043877E0
3.251867188E0;-3.437594652E0;-7.612862110E0;1.777570367E0
