"Time (s)"	"X (hPa)"
1.334434572E2	9.707187653E2
1.343913642E2	9.707199860E2
1.353393502E2	9.707199860E2
1.362872772E2	9.707196808E2
1.372353872E2	9.707196808E2
1.381834692E2	9.707198334E2
1.391314632E2	9.707198334E2
1.400794882E2	9.707174683E2
1.410275892E2	9.707164001E2
1.419756992E2	9.707160187E2
1.429238122E2	9.707151794E2
1.438719562E2	9.707135773E2
1.448201812E2	9.707118225E2
1.457683142E2	9.707097626E2
1.467163362E2	9.707032013E2
1.476643522E2	9.706951904E2
1.486122472E2	9.706886292E2
1.495601522E2	9.706840515E2
1.505081892E2	9.706805420E2
1.514561402E2	9.706805420E2
1.524042292E2	9.706823730E2
1.533522462E2	9.706823730E2
1.543004922E2	9.706803894E2
1.552488262E2	9.706793213E2
1.561971162E2	9.706778717E2
1.571454692E2	9.706746674E2
1.580938592E2	9.706746674E2
1.590422732E2	9.706761932E2
1.599907382E2	9.706784058E2
1.609391952E2	9.706784821E2
1.618876272E2	9.706801605E2
1.628360912E2	9.706807709E2
1.637846772E2	9.706807709E2
1.647332462E2	9.706796265E2
1.656818082E2	9.706789398E2
1.666303702E2	9.706769562E2
1.675789942E2	9.706744385E2
1.685275862E2	9.706739044E2
1.694762782E2	9.706721497E2
1.704248562E2	9.706720734E2
1.713735512E2	9.706720734E2
1.723222222E2	9.706723785E2
1.732708252E2	9.706723785E2
1.742194832E2	9.706721497E2
1.751682302E2	9.706721497E2
1.761169282E2	9.706718445E2
1.770656532E2	9.706702423E2
1.780142812E2	9.706702423E2
1.789629732E2	9.706703186E2
1.799116302E2	9.706709290E2
1.808603502E2	9.706716919E2
1.818091552E2	9.706716919E2
1.827579362E2	9.706710052E2
1.837067772E2	9.706690216E2
1.846555582E2	9.706657410E2
1.856044572E2	9.706621552E2
1.865532382E2	9.706597900E2
1.875021472E2	9.706581116E2
1.884509852E2	9.706581116E2
1.893999292E2	9.706587219E2
1.903488262E2	9.706600952E2
1.912978602E2	9.706612396E2
1.922467872E2	9.706626892E2
1.931957402E2	9.706630707E2
1.941447032E2	9.706630707E2
1.950937892E2	9.706623077E2
1.960427802E2	9.706609344E2
1.969917722E2	9.706602478E2
1.979407962E2	9.706602478E2
1.988897672E2	9.706615448E2
1.998388802E2	9.706634521E2
2.007880212E2	9.706674957E2
2.017372072E2	9.706726837E2
2.026863462E2	9.706758881E2
2.036355482E2	9.706774902E2
2.045847942E2	9.706808472E2
