"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
8.995016250E-1;-8.091346174E-2;-2.533869028E0;1.908918977E0
9.114188130E-1;-3.534640670E-1;-2.835165262E0;2.067551851E0
9.233235000E-1;-3.928561509E-1;-3.287641764E0;2.120784521E0
9.352360000E-1;-1.596976221E-1;-3.784833670E0;2.275158882E0
9.471469380E-1;9.262461960E-2;-4.118069649E0;2.462537289E0
9.590594380E-1;2.853264213E-1;-4.219211102E0;2.664821148E0
9.709703750E-1;4.237310290E-1;-4.196853638E0;2.690372705E0
9.828828750E-1;5.472305417E-1;-3.819967270E0;2.808548927E0
9.948078750E-1;5.067738295E-1;-3.083228827E0;3.093875408E0
1.006704750E0;2.320938855E-1;-2.083521605E0;3.372813940E0
1.018617250E0;-1.809906363E-1;-1.234995008E0;3.455856562E0
1.030528188E0;-5.120970607E-1;-8.911127448E-1;3.493119478E0
1.042439125E0;-5.993984342E-1;-8.613025546E-1;3.528252840E0
1.054351625E0;-2.970375717E-1;-1.039099216E0;3.420723200E0
1.066262563E0;3.257831633E-1;-1.356365204E0;3.173724174E0
1.078175063E0;1.034840584E0;-1.797130585E0;2.935242414E0
1.090104750E0;1.525644660E0;-2.134624958E0;2.905432224E0
1.101996938E0;1.837587357E0;-2.302839756E0;2.969311237E0
1.113909438E0;1.915306807E0;-2.233637571E0;3.026802301E0
1.125820375E0;1.820552945E0;-2.097362041E0;3.016155720E0
1.137732875E0;1.770514369E0;-2.055840731E0;3.042772055E0
1.149667250E0;1.839716673E0;-1.869526863E0;3.176918030E0
1.161556313E0;2.028159857E0;-1.751350641E0;3.384525061E0
1.173468813E0;2.283676147E0;-1.865268230E0;3.463309288E0
1.185381313E0;2.639269352E0;-1.963216186E0;3.447339535E0
1.197290688E0;3.021479130E0;-1.837587357E0;3.395171642E0
1.209201625E0;3.219504118E0;-1.421308875E0;3.200340509E0
1.221114125E0;3.152431250E0;-8.698197603E-1;2.860716820E0
1.233025063E0;2.877751112E0;-5.440365672E-1;2.515769958E0
1.244937563E0;2.505123377E0;-3.172659576E-1;2.317744970E0
1.256848500E0;2.046258926E0;-1.586329788E-1;2.102685452E0
1.268759438E0;1.692794800E0;-2.778738737E-1;1.883367300E0
1.280671938E0;1.411727071E0;-7.399323583E-1;1.694924116E0
1.292584438E0;1.165792704E0;-1.521386027E0;1.552260876E0
1.304495375E0;9.752201438E-1;-2.383753300E0;1.539485097E0
1.316406313E0;8.314923048E-1;-3.454792023E0;1.470282793E0
1.328337563E0;7.111867666E-1;-4.080806732E0;1.307391286E0
1.340229750E0;4.588645101E-1;-4.441723347E0;1.248835444E0
1.352140688E0;-1.171115879E-2;-5.035798550E0;1.072103381E0
1.364053188E0;-7.995527983E-1;-5.981208324E0;7.974234819E-1
1.375965688E0;-1.245641470E0;-5.805541039E0;3.460115194E-1
1.387895375E0;-3.981794119E-1;-4.209629536E0;-9.262461960E-2
1.399787563E0;9.283755422E-1;-2.347555161E0;-4.556705654E-1
1.411698500E0;1.267999172E0;-1.830134749E0;-8.368155360E-1
1.423611000E0;1.948311031E-1;-1.612946033E0;-1.728992939E0
1.435523500E0;-8.783369660E-1;-1.186021090E0;-2.303904533E0
1.447434438E0;-1.756673902E-1;-1.714087874E-1;-2.121849060E0
1.459345375E0;9.837373495E-1;7.984881401E-1;-1.396821856E0
1.471270375E0;1.946181774E0;4.588645101E-1;-6.771179438E-1
1.483171938E0;2.773415327E0;-6.505016685E-1;-3.300417662E-1
1.495081313E0;3.141784668E0;-9.805434346E-1;-2.842617631E-1
1.507004750E0;2.488089085E0;-7.963588238E-1;-3.417529166E-1
1.518904750E0;1.155146122E0;-6.228207350E-1;-3.875329196E-1
1.530815688E0;8.442681432E-1;-8.549146056E-1;-4.311835766E-1
1.542726625E0;1.270128489E0;-8.676904440E-1;-4.748342633E-1
1.554637563E0;1.771579027E0;-8.282983303E-1;-4.695110321E-1
1.566556313E0;1.855686426E0;-1.008224368E0;4.045673087E-2
1.578467250E0;1.444731236E0;-1.481993914E0;8.730136752E-1
1.590373500E0;9.645736814E-1;-1.622527838E0;1.888690591E0
1.602284438E0;8.378801942E-1;-1.112560153E0;2.884139061E0
1.614196938E0;1.109366179E0;-1.146628976E0;3.312128782E0
1.626107875E0;1.406403780E0;-1.983444571E0;3.533576250E0
1.638020375E0;1.489446521E0;-2.629687548E0;3.819967270E0
1.649931313E0;1.496899128E0;-2.900108814E0;4.307577133E0
1.661842250E0;1.455377698E0;-3.080034971E0;4.754730701E0
1.673754750E0;1.400015831E0;-3.156689644E0;5.110323906E0
1.685670375E0;1.362753034E0;-3.007638693E0;5.499986172E0
1.697578188E0;1.451119065E0;-2.912884712E0;6.085544109E0
1.709489125E0;1.625721812E0;-3.347262144E0;6.759468079E0
1.721407875E0;1.931276679E0;-4.488567829E0;7.288599491E0
1.733312563E0;2.494477034E0;-5.759760857E0;7.414228439E0
1.745223500E0;3.201405048E0;-5.893907070E0;7.590960503E0
1.757136000E0;4.071224689E0;-4.391684532E0;7.797502518E0
1.769048500E0;4.733437538E0;-2.137818813E0;7.896515369E0
1.780957875E0;5.145457745E0;2.331585288E-1;7.807084560E0
1.792870375E0;5.245534897E0;1.569295287E0;7.430198193E0
1.804781313E0;5.451012135E0;2.182534218E0;6.906390190E0
1.816693813E0;5.133746147E0;1.400015831E0;6.081285477E0
1.828612563E0;4.598227024E0;-7.026695460E-2;4.945302963E0
1.840517250E0;2.736152649E0;-1.184956431E0;3.389848232E0
1.852428188E0;1.458571702E-1;-3.108780384E-1;2.158047199E0
1.864339125E0;-9.848020077E-1;5.823640227E-1;1.379787445E0
1.876251625E0;-1.259481907E0;1.121077299E0;9.688322544E-1
1.888162563E0;-1.223283768E0;8.538499475E-1;1.016741514E0
1.900075063E0;-1.244576812E0;4.365068302E-2;1.040163875E0
1.911986000E0;-1.252029419E0;-6.600835323E-1;8.506560326E-1
1.923896938E0;-1.196667552E0;-1.025258780E0;6.409198046E-1
1.935809438E0;-1.110430837E0;-1.125335932E0;4.897393882E-1
1.947740688E0;-8.932420611E-1;-1.197732210E0;3.502701223E-1
1.959632875E0;-6.089802980E-1;-1.262675881E0;1.916371584E-1
1.971543813E0;-3.460115194E-1;-1.254158735E0;-3.513347730E-2
1.983454750E0;-1.511804163E-1;-1.170051217E0;-2.395464331E-1
1.995367250E0;-4.577998444E-2;-1.094461083E0;-3.385589719E-1
2.007282875E0;-1.171115879E-2;-9.677675962E-1;-3.747570813E-1
2.019189125E0;-3.193952516E-2;-8.740783334E-1;-4.343775511E-1
2.031101625E0;-8.836601675E-2;-7.750658393E-1;-4.982565939E-1
2.043012563E0;-1.192408949E-1;-6.739239693E-1;-5.493598580E-1
2.054951625E0;-1.522450745E-1;-6.334672570E-1;-6.185621619E-1
2.066836000E0;-1.405339092E-1;-7.207686305E-1;-6.835058331E-1
2.078746938E0;-9.901253134E-2;-8.463973999E-1;-7.431262732E-1
2.090659438E0;-3.193952516E-2;-1.013547659E0;-8.314923048E-1
2.102573500E0;3.939208016E-2;-1.087008476E0;-8.634318113E-1
2.114482875E0;1.256287992E-1;-1.101913571E0;-8.485267162E-1
2.126393813E0;2.299645841E-1;-1.141305685E0;-8.080700040E-1
2.138306313E0;2.981022298E-1;-1.238188982E0;-7.441909313E-1
2.150218813E0;2.672273517E-1;-1.441537261E0;-6.962816715E-1
2.162129750E0;2.044129670E-1;-1.634239078E0;-6.558248997E-1
2.174042250E0;1.160469428E-1;-1.610816717E0;-5.568124056E-1
2.185959438E0;2.874557301E-2;-1.431955338E0;-4.354421794E-1
2.197864125E0;-2.981022373E-2;-1.186021090E0;-3.023608327E-1
2.209776625E0;-3.193952516E-2;-9.273108840E-1;-1.884431988E-1
2.221687563E0;0.000000000E0;-7.984881401E-1;-1.203055456E-1
2.233600063E0;1.149822921E-1;-9.017592669E-1;-1.309520602E-1
2.245511000E0;1.777966917E-1;-1.079555988E0;-8.304276317E-2
2.257423500E0;1.714087874E-1;-1.238188982E0;1.171115879E-2
2.269334438E0;8.730136603E-2;-1.254158735E0;1.245641485E-1
2.281246938E0;-8.304276317E-2;-1.031646609E0;1.618269235E-1
2.293159438E0;-2.118655145E-1;-7.239625454E-1;1.543743759E-1
2.305068813E0;-2.267706245E-1;-5.216789246E-1;1.895078421E-1
2.316981313E0;-2.981022373E-2;-7.878416181E-1;2.139948159E-1
2.328892250E0;1.618269235E-1;-1.111495495E0;1.916371584E-1
2.340804750E0;8.197811246E-2;-8.038113713E-1;1.596976221E-1
2.352714125E0;-1.352106631E-1;-6.068509817E-2;4.684463516E-2
2.364626625E0;-3.523994386E-1;2.959729433E-1;4.471533373E-2
2.376537563E0;-5.919458866E-1;2.267706245E-1;-1.011418328E-1
2.388450063E0;-8.038113713E-1;-2.246413231E-1;-2.225120217E-1
2.400361000E0;-8.059406877E-1;-2.991668880E-1;-2.246413231E-1
2.412275063E0;-5.791700482E-1;-9.049531817E-2;-1.746027321E-1
2.424186000E0;-2.778738737E-1;-2.938436270E-1;1.426632106E-1
2.436095375E0;2.512575984E-1;-1.323361039E0;6.547602415E-1
2.448007875E0;3.396236300E-1;-1.626786470E0;6.696653962E-1
2.459925063E0;1.234994978E-1;-1.485187888E0;5.578770638E-1
2.471831313E0;-2.118655145E-1;-9.858666658E-1;3.949854672E-1
2.483762563E0;-4.801575243E-1;-3.704984784E-1;2.363524884E-1
2.495654750E0;-4.812221825E-1;-5.216789246E-2;2.746799290E-1
2.507564125E0;-2.427403927E-1;3.726277873E-2;5.791700482E-1
2.519478188E0;3.087487444E-2;-5.962044746E-2;9.901252985E-1
2.531395375E0;2.810678184E-1;6.068509817E-2;1.322296381E0
2.543307875E0;2.661627233E-1;3.896622062E-1;1.365947008E0
2.555211000E0;3.619812801E-2;1.002901077E0;1.191344261E0
2.567121938E0;-1.884431988E-1;1.492640495E0;9.198583364E-1
2.579040688E0;-2.257059813E-1;1.362753034E0;7.505788207E-1
2.590945375E0;-1.501157731E-1;7.984881401E-1;5.866225958E-1
2.602856313E0;-8.304276317E-2;2.533869147E-1;5.472305417E-1
2.614768813E0;-4.152138159E-2;-3.790156841E-1;5.451012254E-1
2.626679750E0;-5.749114603E-2;-7.995527983E-1;5.376486778E-1
2.638600063E0;-1.309520602E-1;-9.102764726E-1;4.599291682E-1
2.650504750E0;-2.267706245E-1;-6.398551464E-1;3.641105890E-1
2.662415688E0;-3.832743168E-1;7.771950960E-2;4.333128929E-1
2.674328188E0;-5.578770638E-1;8.272337317E-1;5.216789246E-1
2.686239125E0;-7.303504944E-1;1.489446521E0;6.611481905E-1
2.698150063E0;-8.879188299E-1;2.043065071E0;8.346862793E-1
