Time (s);Latitude (°);Longitude (°);Height (m);Velocity (m/s);Direction (°);Horizontal Accuracy (m);Vertical Accuracy (m)
5,65e+10;5,11e+10;7,40e+09;2,81e+11;1,40e+09;3,39e+10;6,00e+09;6,00e+09
5,75e+10;5,11e+10;7,40e+09;2,81e+11;1,24e+09;3,43e+10;6,00e+09;6,00e+09
5,85e+10;5,11e+10;7,40e+09;2,81e+11;8,51e+08;4,52e+10;6,00e+09;6,00e+09
5,95e+10;5,11e+10;7,40e+09;2,81e+11;1,21e+09;4,93e+10;6,00e+09;6,00e+09
6,05e+10;5,11e+10;7,40e+09;2,81e+11;8,51e+08;4,57e+10;6,00e+09;6,00e+09
6,15e+10;5,11e+10;7,40e+09;2,81e+11;1,17e+09;5,18e+10;6,00e+09;6,00e+09
6,25e+10;5,11e+10;7,40e+09;2,81e+11;1,47e+09;4,69e+10;6,00e+09;6,00e+09
6,35e+10;5,11e+10;7,40e+09;2,81e+11;1,47e+09;4,24e+10;8,00e+09;8,00e+09
6,45e+10;5,11e+10;7,40e+09;2,81e+11;1,08e+09;4,49e+10;8,00e+09;8,00e+09
6,55e+10;5,11e+10;7,40e+09;2,81e+11;1,08e+09;4,82e+10;8,00e+09;8,00e+09
6,65e+10;5,11e+10;7,40e+09;2,81e+11;8,94e+08;4,93e+10;8,00e+09;8,00e+09
6,75e+10;5,11e+10;7,40e+09;2,81e+11;8,94e+08;6,14e+10;8,00e+09;8,00e+09
6,85e+10;5,11e+10;7,40e+09;2,81e+11;8,94e+08;6,23e+10;8,00e+09;8,00e+09
6,95e+10;5,11e+10;7,40e+09;2,81e+11;1,01e+09;5,35e+10;8,00e+09;8,00e+09
7,05e+10;5,11e+10;7,40e+09;2,81e+11;1,54e+09;6,15e+10;8,00e+09;8,00e+09
7,15e+10;5,11e+10;7,40e+09;2,81e+11;1,54e+09;6,26e+10;8,00e+09;8,00e+09
7,25e+10;5,11e+10;7,40e+09;2,81e+11;1,38e+09;4,59e+10;8,00e+09;8,00e+09
7,35e+10;5,11e+10;7,40e+09;2,80e+11;1,11e+09;4,09e+10;8,00e+09;8,00e+09
7,45e+10;5,11e+10;7,40e+09;2,80e+11;8,12e+08;4,40e+10;8,00e+09;8,00e+09
7,55e+10;5,11e+10;7,40e+09;2,81e+11;1,12e+09;4,89e+10;8,00e+09;8,00e+09
7,65e+10;5,11e+10;7,40e+09;2,81e+11;1,01e+09;4,58e+10;8,00e+09;8,00e+09
7,75e+10;5,11e+10;7,40e+09;2,81e+11;1,04e+09;4,88e+10;8,00e+09;8,00e+09
7,85e+10;5,11e+10;7,40e+09;2,80e+11;1,24e+09;4,58e+10;8,00e+09;8,00e+09
7,95e+10;5,11e+10;7,40e+09;2,81e+11;1,24e+09;3,36e+10;8,00e+09;8,00e+09
8,05e+10;5,11e+10;7,40e+09;2,81e+11;1,24e+09;6,50e+10;8,00e+09;8,00e+09
8,15e+10;5,11e+10;7,40e+09;2,81e+11;1,43e+09;7,00e+10;8,00e+09;8,00e+09
8,25e+10;5,11e+10;7,40e+09;2,80e+11;1,28e+09;1,12e+11;8,00e+09;8,00e+09
8,35e+10;5,11e+10;7,40e+09;2,80e+11;1,28e+09;1,18e+11;8,00e+09;8,00e+09
8,45e+10;5,11e+10;7,40e+09;2,80e+11;1,12e+09;1,34e+11;8,00e+09;8,00e+09
8,55e+10;5,11e+10;7,40e+09;2,80e+11;1,12e+09;9,66e+10;8,00e+09;8,00e+09
8,65e+10;5,11e+10;7,40e+09;2,80e+11;1,69e+09;8,57e+10;8,00e+09;8,00e+09
8,75e+10;5,11e+10;7,40e+09;2,79e+11;1,69e+09;7,94e+10;8,00e+09;8,00e+09
8,85e+10;5,11e+10;7,40e+09;2,79e+11;1,31e+09;8,21e+10;8,00e+09;8,00e+09
8,95e+10;5,11e+10;7,40e+09;2,79e+11;1,31e+09;8,86e+10;8,00e+09;8,00e+09
9,05e+10;5,11e+10;7,40e+09;2,78e+11;1,50e+09;7,91e+10;8,00e+09;8,00e+09
9,15e+10;5,11e+10;7,40e+09;2,78e+11;1,50e+09;7,20e+10;6,00e+09;6,00e+09
9,25e+10;5,11e+10;7,40e+09;2,78e+11;1,35e+09;7,51e+10;6,00e+09;6,00e+09
9,35e+10;5,11e+10;7,40e+09;2,78e+11;1,35e+09;7,10e+10;6,00e+09;6,00e+09
9,45e+10;5,11e+10;7,40e+09;2,78e+11;1,52e+09;7,08e+10;6,00e+09;6,00e+09
9,55e+10;5,11e+10;7,40e+09;2,78e+11;1,52e+09;7,12e+10;6,00e+09;6,00e+09
9,65e+10;5,11e+10;7,40e+09;2,77e+11;1,01e+09;7,14e+10;6,00e+09;6,00e+09
9,75e+10;5,11e+10;7,40e+09;2,77e+11;1,01e+09;7,90e+10;6,00e+09;6,00e+09
9,85e+10;5,11e+10;7,40e+09;2,77e+11;1,31e+09;7,69e+10;6,00e+09;6,00e+09
9,95e+10;5,11e+10;7,40e+09;2,77e+11;1,52e+09;6,25e+10;6,00e+09;6,00e+09
1,00e+11;5,11e+10;7,40e+09;2,77e+11;1,34e+09;5,76e+10;6,00e+09;6,00e+09
1,01e+11;5,11e+10;7,40e+09;2,76e+11;1,46e+09;3,56e+10;6,00e+09;6,00e+09
1,02e+11;5,11e+10;7,40e+09;2,76e+11;1,45e+09;3,79e+10;6,00e+09;6,00e+09
1,03e+11;5,11e+10;7,40e+09;2,76e+11;1,45e+09;4,34e+10;6,00e+09;6,00e+09
1,04e+11;5,11e+10;7,40e+09;2,76e+11;1,21e+09;4,26e+10;6,00e+09;6,00e+09
1,05e+11;5,11e+10;7,40e+09;2,76e+11;1,04e+09;4,78e+10;6,00e+09;6,00e+09
1,06e+11;5,11e+10;7,40e+09;2,76e+11;8,47e+08;6,49e+10;6,00e+09;6,00e+09
1,07e+11;5,11e+10;7,40e+09;2,76e+11;1,33e+09;7,41e+10;6,00e+09;6,00e+09
1,08e+11;5,11e+10;7,40e+09;2,76e+11;1,18e+09;7,71e+10;6,00e+09;6,00e+09
1,09e+11;5,11e+10;7,40e+09;2,75e+11;1,18e+09;6,31e+10;6,00e+09;6,00e+09
1,10e+11;5,11e+10;7,40e+09;2,75e+11;5,49e+08;7,29e+10;6,00e+09;6,00e+09
1,11e+11;5,11e+10;7,40e+09;2,75e+11;9,56e+08;8,32e+10;6,00e+09;6,00e+09
1,12e+11;5,11e+10;7,40e+09;2,75e+11;9,56e+08;8,06e+10;6,00e+09;6,00e+09
1,13e+11;5,11e+10;7,40e+09;2,75e+11;1,03e+09;7,34e+10;6,00e+09;6,00e+09
1,14e+11;5,11e+10;7,40e+09;2,74e+11;9,98e+08;7,14e+10;6,00e+09;6,00e+09
1,15e+11;5,11e+10;7,40e+09;2,74e+11;1,03e+09;7,35e+10;6,00e+09;6,00e+09
1,16e+11;5,11e+10;7,40e+09;2,74e+11;9,98e+08;5,82e+10;6,00e+09;6,00e+09
1,17e+11;5,11e+10;7,40e+09;2,74e+11;8,00e+08;6,30e+10;6,00e+09;6,00e+09
1,18e+11;5,11e+10;7,40e+09;2,74e+11;7,39e+08;6,70e+10;6,00e+09;6,00e+09
1,19e+11;5,11e+10;7,40e+09;2,73e+11;1,08e+09;6,25e+10;6,00e+09;6,00e+09
1,20e+11;5,11e+10;7,40e+09;2,73e+11;1,06e+09;6,68e+10;6,00e+09;6,00e+09
1,21e+11;5,11e+10;7,40e+09;2,73e+11;1,06e+09;7,67e+10;6,00e+09;6,00e+09
1,22e+11;5,11e+10;7,40e+09;2,73e+11;1,16e+09;8,12e+10;6,00e+09;6,00e+09
1,23e+11;5,11e+10;7,40e+09;2,73e+11;1,16e+09;7,77e+10;6,00e+09;6,00e+09
1,24e+11;5,11e+10;7,40e+09;2,73e+11;1,13e+09;7,83e+10;6,00e+09;6,00e+09
1,25e+11;5,11e+10;7,40e+09;2,73e+11;8,21e+08;7,99e+10;6,00e+09;6,00e+09
1,26e+11;5,11e+10;7,40e+09;2,72e+11;1,33e+09;8,05e+10;6,00e+09;6,00e+09
1,27e+11;5,11e+10;7,40e+09;2,72e+11;1,33e+09;8,37e+10;6,00e+09;6,00e+09
1,28e+11;5,11e+10;7,40e+09;2,72e+11;1,11e+09;7,72e+10;6,00e+09;6,00e+09
1,29e+11;5,11e+10;7,40e+09;2,72e+11;8,23e+08;7,79e+10;6,00e+09;6,00e+09
1,30e+11;5,11e+10;7,40e+09;2,72e+11;1,00e+09;7,52e+10;6,00e+09;6,00e+09
1,31e+11;5,11e+10;7,40e+09;2,72e+11;1,43e+09;7,43e+10;6,00e+09;6,00e+09
1,32e+11;5,11e+10;7,40e+09;2,71e+11;1,29e+09;7,53e+10;6,00e+09;6,00e+09
1,33e+11;5,11e+10;7,40e+09;2,71e+11;1,29e+09;7,36e+10;6,00e+09;6,00e+09
1,34e+11;5,11e+10;7,40e+09;2,71e+11;1,30e+09;7,65e+10;6,00e+09;6,00e+09
1,35e+11;5,11e+10;7,40e+09;2,71e+11;1,38e+09;7,58e+10;6,00e+09;6,00e+09
1,36e+11;5,11e+10;7,40e+09;2,71e+11;1,30e+09;7,20e+10;6,00e+09;6,00e+09
1,37e+11;5,11e+10;7,40e+09;2,71e+11;1,38e+09;6,92e+10;6,00e+09;6,00e+09
1,38e+11;5,11e+10;7,40e+09;2,71e+11;1,17e+09;6,79e+10;6,00e+09;6,00e+09
1,39e+11;5,11e+10;7,40e+09;2,71e+11;1,17e+09;6,01e+10;6,00e+09;6,00e+09
