"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
8.352082917E-1;1.090967432E-1;-7.920514047E-2;-1.217379868E-1
8.452172917E-1;2.421940714E-1;6.907108240E-3;-1.361893564E-1
8.552272917E-1;2.723169923E-1;-8.690901101E-3;-1.661881357E-1
8.652372917E-1;2.162542641E-1;1.394522339E-1;-1.657732129E-1
8.752162917E-1;1.887851357E-1;2.134232074E-1;-1.660325378E-1
8.852262917E-1;2.089444697E-1;1.996581256E-1;-1.787808239E-1
8.952362917E-1;2.243155986E-1;1.497957706E-1;-2.064092904E-1
9.052452917E-1;2.278818339E-1;1.022077426E-1;-2.296770662E-1
9.152252917E-1;2.043390721E-1;7.872102410E-2;-2.108320296E-1
9.252342917E-1;1.684561670E-1;4.939642176E-2;-1.624136269E-1
9.352442917E-1;9.961233288E-2;-6.114292517E-2;-9.971057624E-2
9.452542917E-1;4.174131155E-2;-2.422021925E-1;-5.078644305E-2
9.552642917E-1;1.872778311E-2;-3.409644365E-1;-6.914416701E-2
9.652432917E-1;4.480758682E-2;-2.256157398E-1;-2.098371089E-1
9.752532917E-1;1.989685446E-1;1.191054806E-1;-4.612910748E-1
9.852632917E-1;4.923489988E-1;6.677252054E-1;-7.010679841E-1
9.952722917E-1;8.785243630E-1;1.364439726E0;-9.518156648E-1
1.005252292E0;1.196832061E0;2.225554943E0;-1.274571061E0
1.015261292E0;1.402896047E0;2.973274469E0;-1.460170150E0
1.025271292E0;1.557568192E0;3.147414923E0;-1.395451188E0
1.035281292E0;1.789280057E0;2.757244110E0;-1.221869588E0
1.045260292E0;1.964621544E0;2.078404427E0;-1.104018331E0
1.055270292E0;1.983539224E0;1.462089539E0;-1.117072463E0
1.065280292E0;1.814611912E0;1.141077161E0;-1.158771992E0
1.075289292E0;1.466190219E0;1.193150520E0;-1.146264315E0
1.085269292E0;1.071218967E0;1.496374011E0;-1.156581998E0
1.095278292E0;7.907003760E-1;2.035651445E0;-1.154962540E0
1.105288292E0;7.501173019E-1;2.817190170E0;-1.115956545E0
1.115298292E0;8.963251114E-1;3.589572906E0;-1.156584263E0
1.125277292E0;1.160165548E0;4.029789448E0;-1.351095200E0
1.135287292E0;1.363232255E0;3.808185577E0;-1.777873397E0
1.145297292E0;1.445226789E0;2.989970684E0;-2.235356569E0
