"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
1.190398500E0;-4.147553444E-1;-3.493296504E-1;1.295652390E-1
1.211260500E0;-3.239678144E-1;-2.515095472E-2;-5.710592270E-1
1.223153500E0;-1.345921755E-1;3.053581715E-2;-6.565093994E-1
1.240474500E0;-2.626947165E-1;-1.909679472E-1;-6.990041733E-1
1.261898500E0;-1.395974159E-1;-7.633784413E-2;-3.577709198E-1
1.275106000E0;-3.949141502E-2;-1.859386861E-1;3.825502396E-1
1.290140500E0;6.612098217E-2;-2.962742448E-1;6.441955566E-1
1.300262500E0;3.330969810E-2;-2.667738497E-1;7.355203629E-1
1.319807500E0;-6.219416857E-1;-5.203915834E-1;-4.906148911E-1
1.329894500E0;-8.985514641E-1;-5.566069484E-1;-1.123085022E0
1.349856500E0;-8.736673594E-1;-5.785216093E-1;-1.100930214E0
1.369824500E0;-4.929089546E-2;-2.044175118E-1;-9.036417007E-1
1.389869500E0;7.998467684E-1;1.812967658E-1;2.786960602E-1
1.399912500E0;8.034200668E-1;1.659546196E-1;4.261741638E-1
1.419896500E0;-4.138612747E-1;-3.105369210E-1;-3.882169724E-1
1.429914500E0;-1.035692096E0;-6.292130351E-1;-7.111787796E-1
1.449857500E0;-1.017135501E0;-6.312615871E-1;9.161090851E-2
1.469855500E0;6.443202496E-2;4.014449194E-2;2.880859375E-1
1.480021500E0;5.389622450E-1;2.901045382E-1;6.033554077E-1
1.490637500E0;6.078985929E-1;3.083742857E-1;5.480604172E-1
1.510644500E0;5.486321449E-2;-1.033830047E-1;-2.274160385E-1
1.529995500E0;2.324854136E-1;-3.185402974E-2;-1.445703506E-1
1.540096500E0;1.980817318E-1;9.774707258E-2;-4.479017258E-1
1.559862500E0;-8.068362474E-1;-7.399982214E-1;6.238155365E-1
1.569947500E0;-1.308671474E0;-1.236305714E0;8.456277847E-1
1.590089500E0;-1.277158141E0;-1.463890553E0;-1.908264160E-1
1.609889500E0;-6.657838821E-2;-2.904866338E-1;-1.739939213E0
1.629866500E0;-2.508118153E-1;-4.206231833E-1;-1.987797737E0
1.640803500E0;-9.234334230E-1;-1.213687539E0;-1.750181675E0
1.659806500E0;-9.545080662E-1;-1.419169426E0;-7.954931259E-1
1.669897500E0;-5.594391823E-1;-1.083012700E0;-6.331920624E-1
1.690469500E0;-7.386448383E-1;-8.103244305E-1;-1.751770020E0
1.709825500E0;-6.641876698E-1;-9.297065139E-1;-2.426247120E0
1.729940500E0;2.072926760E0;-1.004062891E-1;-7.563304901E-1
1.740243500E0;2.221774578E0;8.589067459E-1;6.061658859E-1
1.759834500E0;-2.083864212E-1;-1.150767446E0;7.731370926E-1
1.769967500E0;1.271276474E-1;-1.200734615E0;1.449708939E-1
1.790217500E0;1.723725796E0;1.251444578E0;1.653681755E0
1.809963500E0;1.015324593E-1;-4.083251953E-1;1.042678833E0
1.829865500E0;-1.674258232E0;-1.260121822E0;-9.219908714E-1
1.840151500E0;-2.429282427E0;-1.794569969E0;-1.492904186E0
1.859886500E0;-2.032667875E0;-1.213273287E0;-2.256260395E0
1.869952500E0;-1.143814564E0;-1.511682272E-1;-2.056600571E0
1.889937500E0;1.503939629E-1;7.772811055E-1;-1.953768730E0
1.909965500E0;-6.539459229E-1;-4.513391852E-1;-6.859807968E-1
1.920011500E0;-1.144266129E0;-9.633471370E-1;-8.905210495E-1
1.940293500E0;-5.466103554E-1;-1.322345853E0;-5.361142159E-1
1.960038500E0;1.441197395E0;6.508408189E-1;9.421610832E-1
1.970162500E0;1.002254963E0;3.540850878E-1;8.117809296E-1
1.990556500E0;5.716462135E-1;1.858978271E-1;-1.292681694E-1
2.009903500E0;9.338078499E-1;1.140511036E-2;5.421733856E-1
2.020073500E0;1.402787209E0;2.946368456E-1;1.084794044E0
2.030159500E0;2.020935535E0;5.077923536E-1;1.131431103E0
2.040424500E0;2.389819622E0;6.460173130E-1;1.321525574E0
2.059934500E0;2.339288235E0;2.854235172E-1;1.656331539E0
2.070123500E0;2.280360222E0;1.376962662E-1;1.657916546E0
2.080226500E0;1.777557850E0;-2.372908592E-2;1.536785603E0
2.099960500E0;2.039311409E0;3.672201633E-1;3.177461624E-1
2.110112500E0;2.433853149E0;6.841753721E-1;-4.822807312E-1
2.132089500E0;2.405100822E0;5.823936462E-1;-1.393565655E0
2.142986500E0;1.501378059E0;2.627921104E-2;-1.463138342E0
2.160661500E0;7.372217178E-1;-4.988110065E-1;-1.686609983E0
2.180009500E0;4.228591919E-1;-8.910300732E-1;-1.715799809E0
2.201271500E0;1.905374527E-1;-6.067495346E-1;-1.651375532E0
2.219960500E0;-8.430986404E-1;-9.298682213E-1;-3.005253315E0
2.240050500E0;-4.705333710E-2;-8.473482132E-1;-2.890190840E0
2.253016500E0;3.145017624E-1;-7.978706360E-1;-2.070236921E0
2.270171500E0;1.321582794E0;-6.286520958E-1;-5.247633457E-1
2.290176500E0;-6.357479095E-2;-9.744157791E-1;-1.439084768E0
2.300324500E0;2.700462341E-1;-1.594572067E-1;-1.167698264E0
2.311078500E0;-1.267385483E-1;-5.950927734E-4;-7.752438784E-1
2.329998500E0;-7.635483742E-1;-5.097522736E-1;-8.475620747E-1
2.341726500E0;8.145351410E-1;2.846009731E-1;-6.131967306E-1
2.359978500E0;2.051453590E0;1.443023920E0;3.359755278E-1
2.379807500E0;3.208818436E-1;4.948258400E-1;2.426408529E-1
2.389972500E0;-4.384880066E-1;8.237695694E-2;-3.065314889E-1
2.410641500E0;-1.224961281E0;-7.259674072E-1;-5.135217905E-1
2.431206500E0;-8.118262291E-1;-5.199060440E-1;4.233807325E-2
2.450336500E0;-3.183431625E-1;-3.789067268E-1;-5.928764939E-1
2.461266500E0;-1.993417740E-1;1.313209534E-2;-5.106319189E-1
2.479843500E0;8.712606430E-1;7.663040161E-1;4.875608087E-1
2.490209500E0;7.966480255E-1;1.056014061E0;7.200497389E-1
2.510058500E0;-3.442935944E-1;6.824045181E-1;5.493564606E-1
2.529790500E0;-1.875571251E0;-3.328776360E-1;-1.489658117E0
2.540097500E0;-2.212333202E0;-1.108541012E0;-2.483162642E0
2.559827500E0;-6.815428734E-1;-1.234679222E0;-1.765665412E-2
2.579842500E0;4.668812752E-1;-8.410930634E-1;2.683350086E0
2.589927500E0;1.478667259E-1;-8.030056953E-1;1.949894428E0
2.600304500E0;1.381168365E-1;-7.595596313E-1;5.673591495E-1
2.619775500E0;9.758801460E-1;1.741604805E-1;-5.985988975E-1
2.629804500E0;1.032726765E0;2.909154892E-1;-3.781739473E-1
2.649812500E0;1.225389481E0;-3.822288513E-1;-9.915969372E-1
2.669823500E0;1.230525017E0;-8.797783852E-1;7.447832227E-1
2.689951500E0;5.210351944E-2;-7.481298447E-1;8.828548789E-1
2.709767500E0;-1.661512375E0;-1.155294418E0;-1.090252042E0
2.719834500E0;-1.100193024E0;-7.787532806E-1;-1.537114382E0
2.740322500E0;3.399045467E0;-1.316721916E0;1.985411048E0
2.760149500E0;2.513669014E0;-5.827064514E-1;2.429454178E-1
2.779789500E0;2.352030277E0;1.576886177E-1;-2.139097214E0
2.789820500E0;1.216053009E0;-2.409467697E-1;-1.916963577E0
2.809943500E0;1.285257339E-1;-8.072595596E-1;-1.979337215E0
2.831642500E0;-3.027004719E0;-1.100538254E0;1.111702323E-1
2.841980000E0;-4.734403610E0;-2.209898472E0;6.967443228E-2
2.860893625E0;-5.048131466E0;-5.095849037E-1;1.500756979E0
2.871689062E0;-3.506727695E0;4.294276237E-1;1.898814201E0
2.882200281E0;-3.478623867E0;4.670515060E-1;1.954927683E0
2.900094500E0;-2.194476128E0;1.319381237E0;1.554810762E0
2.910944500E0;-7.266554832E-1;2.343084097E0;-2.545733154E-1
2.930712500E0;9.142398834E-2;1.953646660E0;-6.118751764E-1
2.949816500E0;-1.052872658E0;5.841293335E-1;-2.955792844E-1
2.959838500E0;-2.203568459E0;-1.812276840E-1;-2.695084214E-1
2.971041500E0;-2.939566612E0;-7.658028603E-1;-8.528712392E-1
2.990205500E0;-1.956916332E0;-8.822903633E-1;-8.899083138E-1
3.009839500E0;-1.129856110E-1;-1.260871887E-1;2.513380051E-1
3.029789500E0;6.452999115E-1;6.858396530E-2;-1.031722054E-1
3.039802500E0;5.063076019E-1;3.499269485E-2;-9.440969825E-1
3.059867500E0;-8.633680344E-1;-6.639423370E-1;-7.361609340E-1
3.072424500E0;-1.644785881E0;-1.072054863E0;-8.633265495E-1
3.089806500E0;-1.583452225E0;-4.607405663E-1;-1.403896570E0
3.100783500E0;-1.235702515E0;-2.437477112E-1;-1.308995247E0
3.120661500E0;2.462539673E-1;7.296276093E-1;-5.897130370E-1
3.141665500E0;1.585979939E0;8.561124802E-1;-9.445055127E-1
3.160585500E0;2.684830189E0;-6.129679680E-1;-1.055761218E0
3.180588500E0;2.345340252E0;-1.090004444E0;-1.525397599E-1
3.203126500E0;-1.484999657E0;-4.423642159E-1;3.009509325E0
3.216659500E0;-1.627699375E0;1.283869743E-1;1.917915702E0
3.229826500E0;-1.097278595E0;2.620391846E-1;1.820367217E0
3.239865500E0;-1.497826099E0;-6.798315048E-2;2.104370117E0
3.250281500E0;-1.613480568E0;-1.648087502E-1;1.945593476E0
3.263082500E0;-1.065364361E0;-2.722172737E-1;9.740969539E-1
3.279801500E0;-3.178925514E-1;-3.632111549E-1;1.981628537E-1
3.290016500E0;1.056842804E-1;5.315446854E-2;7.679606080E-1
3.300761500E0;5.477766991E-1;5.104250908E-1;1.322045922E0
3.313878500E0;5.619902611E-1;6.982140541E-1;5.756891966E-1
3.327895500E0;-7.948112488E-2;4.582533836E-1;-1.214533567E0
3.342371500E0;-4.766101837E-1;3.965625763E-1;-1.494083047E0
3.356556500E0;-1.022053242E0;8.350896835E-2;-1.362082124E0
3.371377500E0;-2.551136017E0;-6.047148705E-1;-1.080204725E0
3.390094500E0;-2.703427792E0;-8.191056252E-1;-1.052035332E0
3.403636500E0;-2.184274435E0;-5.108060837E-1;-3.672691286E-1
3.420088500E0;2.187423706E-1;7.192702293E-1;8.208464384E-1
3.445559500E0;2.650911331E0;4.976077080E-1;1.068588495E0
3.460822500E0;1.968161583E0;3.115162849E-1;1.227935553E0
3.479824500E0;-2.793931961E-2;3.766765594E-1;6.980863214E-1
3.492542500E0;-7.995443344E-1;-3.073148727E-1;-1.120594501E0
3.509963500E0;-1.008338451E0;-7.883939743E-1;-1.677375078E0
3.522678500E0;-1.104717731E0;-1.482155800E0;-5.404874682E-1
3.535755000E0;-2.046923637E-1;-8.641328812E-1;-6.672072411E-1
3.549787500E0;-5.580534935E-1;-1.720771790E-1;-9.975368977E-1
3.559955500E0;-9.415683746E-1;7.848577499E-1;-1.323891878E0
3.579815500E0;-8.417143822E-1;8.040919304E-1;-7.087618113E-2
3.590690500E0;-8.263173103E-1;5.850272179E-1;1.437361479E0
3.610313500E0;-5.648756027E-2;1.427112579E0;2.991915226E0
3.620656500E0;9.146499634E-1;3.729855537E0;2.651291847E0
3.641922500E0;4.156177998E0;6.315239906E0;2.617326021E0
3.660396500E0;-3.091588020E-1;7.315197468E0;-1.250281096E0
3.679860500E0;-2.780226707E0;5.941792011E0;-6.391381741E0
3.690750500E0;-3.305637836E0;4.882936001E0;-4.241032124E0
3.710143500E0;-4.670587063E0;1.856858253E0;1.493713021E0
3.729885500E0;-3.532071114E0;4.294454575E0;-1.729056835E-1
3.740754500E0;-1.454886198E0;-1.071300507E-1;-1.841397166E0
3.760071500E0;6.329289436E0;-1.867756653E1;-4.995076180E0
3.779954500E0;6.255394936E0;-1.820825958E1;4.835163116E0
3.799781500E0;-3.968528271E0;-6.783953667E0;4.824549675E0
3.809870500E0;-6.462131500E0;-2.051460266E0;2.799629450E0
3.829912500E0;-6.787750244E0;3.374199867E0;-2.464687347E0
3.840814500E0;-5.262497425E0;3.746465206E0;-4.191994190E0
3.859812500E0;-1.128157377E0;1.341301441E0;-1.526768327E0
3.879854500E0;1.070922375E0;-6.207971573E-1;2.130746841E-3
3.890078500E0;1.102626324E0;-8.641119003E-1;1.411939621E0
3.900145500E0;-3.671107292E-1;-4.269275665E-1;2.836488962E0
3.919772500E0;-8.915164471E-1;1.432886124E-1;1.656532764E0
3.929886500E0;-4.268383980E-1;4.834489822E-1;2.181004286E-1
