"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
1.131595312E0;6.202236652E0;1.008265376E0;6.991356373E0
1.143506250E0;6.572562695E0;1.925254107E0;6.292345047E0
1.155418750E0;6.943788052E0;2.575988531E0;6.002120018E0
1.167329687E0;6.993740559E0;2.454420567E0;6.688891888E0
1.179242187E0;6.968975067E0;2.016291380E0;8.406233788E0
1.191153125E0;6.720112324E0;1.340963602E0;9.270300865E0
1.203065625E0;6.817183018E0;1.337831974E0;9.297471046E0
1.214976562E0;6.545536518E0;1.200615525E0;8.598134041E0
1.226887500E0;5.825360775E0;1.162375331E0;7.514144421E0
1.238801562E0;5.363213062E0;1.981000900E0;6.286149025E0
1.250710937E0;5.347871304E0;2.437938929E0;5.794360638E0
1.262623437E0;6.618444920E0;2.916922808E0;6.506444454E0
1.274534375E0;7.236608982E0;2.805745840E0;7.257447720E0
1.286446875E0;7.511846066E0;2.589731455E0;7.385441780E0
1.298357812E0;7.615821362E0;2.366486311E0;7.639323235E0
1.310268750E0;7.285192013E0;2.045807123E0;7.105569363E0
1.322185937E0;7.483019829E0;2.191460609E0;6.477723122E0
1.334092187E0;8.004850388E0;2.233790398E0;6.537367821E0
1.346004687E0;8.091836929E0;1.734149098E0;6.481343269E0
1.357915625E0;8.357793808E0;1.533553243E0;6.710238934E0
1.369826562E0;8.351204872E0;1.058304191E0;6.624009132E0
1.381739062E0;8.153041840E0;5.431198478E-1;6.440172672E0
1.393650000E0;7.675734043E0;-1.541099697E-1;6.588680267E0
1.405564062E0;7.152313709E0;-8.102169633E-1;6.090791702E0
1.417473437E0;7.948596001E0;-2.343444675E-1;5.732418060E0
1.429384375E0;8.656791687E0;9.704178572E-2;5.539752007E0
1.441296875E0;9.207056046E0;8.366969228E-1;4.994658947E0
1.453207812E0;9.591181755E0;1.398615956E0;4.167577267E0
1.465118750E0;1.011955261E1;7.610113621E-1;4.712688923E0
1.477031250E0;1.011489868E1;-5.031462908E-1;6.493754864E0
1.488942187E0;1.099842644E1;-9.828772545E-1;7.600441456E0
1.500854687E0;1.255161190E1;-5.105491281E-1;7.797225475E0
