"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
1.164401000E0;6.749064922E-1;9.700536728E-2;-2.592165947E0
1.180333000E0;9.390470982E-1;1.244139671E-1;-3.491723061E0
1.191222000E0;8.680820465E-1;3.179979324E-2;-3.860907555E0
1.210128000E0;1.072928429E0;-9.528501034E-1;-4.577319622E0
1.220178000E0;1.225639820E0;-1.377642393E0;-4.698567867E0
1.230257000E0;1.409070015E0;-1.582270622E0;-4.355696678E0
1.250217000E0;1.788947344E0;-2.099592686E0;-3.896466732E0
1.260265000E0;1.781521797E0;-2.155350685E0;-4.045798302E0
1.280271000E0;1.492390633E-1;-2.605103493E0;-4.785068512E0
1.290976000E0;-9.640169144E-2;-3.146069288E0;-4.602581978E0
1.310090000E0;-8.274745941E-2;-4.180380344E0;-1.657197952E0
1.320216000E0;4.478931427E-1;-4.548583508E0;-1.077610016E0
1.341636000E0;-1.622767448E-1;-4.352516174E0;-1.339171886E0
1.360226000E0;-1.635981560E0;-4.726432323E0;-2.845583677E0
1.370765000E0;-2.271762848E0;-5.121925354E0;-2.375270844E0
1.381066000E0;-2.539479733E0;-5.262746334E0;-9.817605019E-1
1.391821000E0;-2.395252705E0;-5.272610664E0;1.128755093E0
1.410288000E0;-1.700304031E0;-5.824245453E0;3.362231255E0
1.420338000E0;-1.809048653E0;-5.946853638E0;3.264018059E0
1.440618000E0;-1.701584816E0;-5.892178535E0;1.034758568E0
1.460155000E0;-1.736014366E0;-5.740921021E0;-1.717149973E0
1.470185000E0;-1.858098984E0;-5.744657993E0;-1.998811483E0
1.480197000E0;-1.829408646E0;-5.799427032E0;-1.068691254E0
1.490201000E0;-1.287923813E0;-6.505896568E0;1.539623260E0
1.510222000E0;-1.026628494E0;-6.479639530E0;3.255200148E0
1.530219000E0;-1.163929939E0;-5.607733727E0;3.905130863E0
1.540703000E0;-1.435837746E0;-5.097226620E0;3.648512602E0
1.560212000E0;-2.293127060E0;-3.979440212E0;2.862964153E0
1.570606000E0;-2.725630760E0;-3.486030102E0;2.274758339E0
1.590168000E0;-2.871582508E0;-2.745975018E0;1.542258739E0
1.610284000E0;-3.365794182E0;-2.279066563E0;9.721038342E-1
1.620359000E0;-3.723431587E0;-2.081316471E0;8.822546005E-1
1.641881000E0;-4.370896816E0;-1.601634502E0;7.143418789E-1
1.660117000E0;-4.436803818E0;-9.916691780E-1;9.145137668E-1
1.670316000E0;-4.499819756E0;-5.076603889E-1;1.186392546E0
1.690191000E0;-4.403845310E0;5.254850388E-1;1.276873469E0
1.700196000E0;-4.365471363E0;9.968252182E-1;1.212039471E0
1.710224000E0;-4.288597584E0;1.469525337E0;1.208395600E0
1.720224000E0;-4.047164917E0;1.827796459E0;1.205195308E0
1.730336000E0;-3.700847149E0;2.060223579E0;1.146026492E0
1.740775000E0;-3.455965996E0;2.219058990E0;9.300292730E-1
1.760552000E0;-2.926930904E0;2.743680477E0;5.637689829E-1
1.779943000E0;-2.689430714E0;2.979863167E0;5.512988567E-1
1.789973000E0;-2.722084999E0;2.942263126E0;5.871674418E-1
1.800029000E0;-2.675060749E0;3.020007610E0;4.815811813E-1
1.819918000E0;-2.271193981E0;3.164135456E0;4.344494045E-1
1.840042000E0;-1.763273239E0;2.712666512E0;6.634364128E-1
1.859972000E0;-1.972297192E0;2.676502705E0;5.602741241E-1
1.880160000E0;-1.132893562E-1;2.350342751E0;3.911661208E-1
1.906557000E0;-5.384292603E-1;2.434356689E0;3.903653622E-1
1.921697000E0;-4.903507233E-1;2.057190895E0;2.020089924E-1
1.939247500E0;-5.214414597E-1;1.859736443E0;-1.925397515E-1
1.951153000E0;-4.846239090E-1;1.831270695E0;-1.975041032E-1
1.970544000E0;-5.872979164E-1;1.343862534E0;-8.351134062E-1
1.984408000E0;-6.001620293E-1;1.008852959E0;-1.147532821E0
1.997110000E0;-7.926621437E-1;-6.433629990E-2;-1.701484203E0
2.011314000E0;-8.632874489E-1;-7.787113190E-1;-1.814203978E0
2.030069000E0;-8.644275665E-1;-2.126166344E0;-1.641576529E0
2.041065000E0;-7.560625076E-1;-2.486520290E0;-1.332197309E0
2.060166000E0;-8.017849922E-1;-2.774998665E0;-7.524456978E-1
2.079965000E0;-1.536620617E0;-2.304743290E0;-1.960925162E-1
2.090288000E0;-3.210275650E0;-2.502778053E0;-3.178559840E-1
2.110426000E0;-3.481054306E0;-2.299001694E0;-1.516314447E-1
2.129967000E0;-3.527197361E0;-2.255433559E0;5.794085860E-1
2.140196000E0;-3.311888218E0;-1.969001770E0;9.041589499E-1
2.164036000E0;-2.697129250E0;-6.914796829E-1;1.041706800E0
2.180215000E0;-3.320203304E0;2.908234596E-1;1.171474218E0
2.190604000E0;-4.131968975E0;2.704191208E-1;9.759790897E-1
2.211764000E0;-4.763768673E0;2.854475975E-1;5.127326250E-1
2.229955000E0;-4.245182037E0;6.024789810E-2;-1.732686162E-1
2.240100000E0;-3.802369595E0;-2.724509239E-1;-4.223842621E-1
2.260025000E0;-2.829690456E0;-8.499054909E-1;8.210015297E-2
2.279925000E0;-1.624732971E0;-1.728727818E0;2.081712246E0
2.291708000E0;-1.089776993E0;-1.968915462E0;2.773093700E0
2.309997000E0;-2.442593575E-1;-2.313086987E0;3.644443274E0
2.330014000E0;4.185013771E-1;-2.208424091E0;5.073867321E0
2.340215000E0;6.743731499E-1;-2.107604980E0;5.473653316E0
2.359952000E0;1.193471909E0;-1.602244377E0;5.131213188E0
2.369952000E0;1.348860264E0;-1.509035587E0;4.781537533E0
2.390038000E0;1.897947311E0;-1.603086948E0;4.307017803E0
2.409989000E0;2.634831905E0;-1.569672108E0;4.289482117E0
2.420013000E0;2.919270992E0;-1.589538097E0;4.218928814E0
2.440215000E0;3.171080112E0;-1.762646198E0;3.868475199E0
2.459946000E0;3.379682541E0;-1.751174927E0;3.056663036E0
2.479957000E0;3.170248985E0;-2.227886677E0;2.510728359E0
2.490009000E0;3.368980408E0;-2.282269478E0;2.589755058E0
2.509982000E0;3.628251076E0;-2.720070839E0;2.571546793E0
2.531828000E0;3.157070637E0;-3.164561749E0;3.138139248E0
2.549919000E0;2.705232620E0;-3.351340294E0;3.635069847E0
2.560109000E0;2.657406330E0;-3.152351379E0;3.850286722E0
2.579964000E0;2.379851818E0;-2.410860062E0;4.275838375E0
2.590247000E0;2.514200687E0;-1.914347172E0;4.371794224E0
2.610867000E0;3.032365799E0;-5.908432007E-1;4.111286640E0
2.629939000E0;3.489372730E0;3.045988083E-1;3.558234215E0
2.640005000E0;3.103239059E0;2.074050903E-1;3.363289356E0
2.659931000E0;2.533508301E0;-2.061066628E-1;1.953073025E0
2.670013000E0;2.554452419E0;-1.071646690E0;6.413497329E-1
2.690118000E0;2.012161255E0;-2.053066254E0;-5.966150761E-1
2.710019000E0;1.943793774E0;-3.081965446E0;-1.255118728E0
2.729935000E0;2.092685223E0;-4.453401566E0;-8.242430687E-1
