"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
8.782947500E-1;4.186017811E-2;5.394096375E-1;-3.066852689E-1
8.883037500E-1;2.171587646E-1;5.005328059E-1;-2.184168994E-1
8.982837500E-1;3.514611721E-1;5.606956482E-1;-1.151580587E-1
9.082927500E-1;4.253023565E-1;6.831933260E-1;4.070593044E-3
9.183027500E-1;3.981445730E-1;7.998003960E-1;9.590573609E-2
9.283127500E-1;2.645100653E-1;8.893041611E-1;1.275379509E-1
9.383227500E-1;8.098531514E-2;9.316942096E-1;9.019345045E-2
9.483017500E-1;-7.686929405E-2;9.106014967E-1;2.943981625E-2
9.583117500E-1;-1.323207617E-1;8.368138075E-1;1.066438574E-2
9.683217500E-1;-7.233491540E-2;8.124533892E-1;5.047385022E-2
9.783307500E-1;2.801733837E-2;9.213718772E-1;1.097239777E-1
9.883107500E-1;1.161392108E-1;1.152415991E0;1.295741051E-1
9.983197500E-1;1.720862687E-1;1.402690172E0;9.658469260E-2
1.008329750E0;1.772602648E-1;1.615098000E0;3.484862670E-2
1.018339750E0;1.906001866E-1;1.688555956E0;-1.002903562E-2
1.028349750E0;2.537205517E-1;1.599330187E0;-9.080418386E-3
1.038328750E0;3.099856675E-1;1.568201303E0;3.456658684E-3
1.048338750E0;3.393318355E-1;1.570471287E0;-4.309006780E-2
1.058347750E0;3.294602931E-1;1.592547059E0;-9.324804693E-2
1.068357750E0;3.196116388E-1;1.638862371E0;-1.155466959E-1
1.078367750E0;3.213496804E-1;1.877034426E0;-2.108634263E-1
1.088346750E0;3.085723817E-1;2.188241243E0;-3.932398856E-1
1.098356750E0;2.211910039E-1;2.349580526E0;-5.253469944E-1
1.108366750E0;1.209861189E-1;2.333225727E0;-6.175453663E-1
1.118375750E0;5.418910645E-3;2.187344074E0;-6.200174689E-1
1.128355750E0;-6.382620335E-2;2.018669128E0;-6.098271608E-1
1.138364750E0;-6.211638916E-3;1.921762705E0;-6.112131476E-1
1.148385750E0;1.251743436E-1;1.871415377E0;-6.046396494E-1
1.158395750E0;2.644964457E-1;1.841547728E0;-6.164454222E-1
1.168405750E0;3.817394376E-1;1.855556965E0;-7.058773041E-1
1.178384750E0;4.728349745E-1;1.841562033E0;-7.956512570E-1
1.188394750E0;5.115200877E-1;1.637516737E0;-7.671388984E-1
1.198404750E0;3.855064809E-1;1.149337292E0;-6.625897288E-1
1.208413750E0;2.116433382E-1;7.174122930E-1;-7.188194394E-1
1.218393750E0;9.189870209E-2;3.369598389E-1;-7.478043437E-1
1.228402750E0;8.608209342E-2;1.205567196E-1;-7.357831001E-1
1.238412750E0;1.825519353E-1;1.050814614E-1;-6.952482462E-1
1.248422750E0;3.405615389E-1;2.434369326E-1;-6.414867640E-1
1.258432750E0;5.254092216E-1;4.242092073E-1;-5.574086308E-1
1.268411750E0;7.125138044E-1;5.783306360E-1;-4.341258705E-1
1.278421750E0;8.763879538E-1;7.559306026E-1;-3.584802151E-1
1.288430750E0;9.582758546E-1;8.761827350E-1;-2.989268601E-1
1.298440750E0;9.533584714E-1;8.889976144E-1;-2.364568710E-1
1.308450750E0;8.905342817E-1;8.670217395E-1;-1.764366776E-1
1.318429750E0;8.257605433E-1;8.393614888E-1;-1.036931574E-1
1.328439750E0;7.644926310E-1;8.193806410E-1;-1.055682264E-2
1.338449750E0;6.742023230E-1;7.661929131E-1;8.765456825E-2
1.348458750E0;5.817639828E-1;7.124708295E-1;1.828769594E-1
1.358438750E0;5.116705298E-1;7.503724694E-1;2.366137356E-1
1.368447750E0;4.571554065E-1;8.662894964E-1;2.691383958E-1
1.378457750E0;4.219008684E-1;1.006689906E0;3.344696164E-1
1.388467750E0;4.066590667E-1;1.226695180E0;3.887232840E-1
1.398477750E0;4.199765623E-1;1.486927390E0;4.366838932E-1
1.408456750E0;4.146262705E-1;1.693834305E0;4.988332987E-1
1.418466750E0;3.681240082E-1;1.836060643E0;5.058887601E-1
1.428476750E0;2.791805565E-1;1.891054630E0;5.012109280E-1
1.438485750E0;1.821551919E-1;1.912208438E0;4.887832999E-1
1.448465750E0;1.127572134E-1;1.879797459E0;4.667624235E-1
1.458474750E0;4.904773831E-2;1.731742263E0;4.676247537E-1
1.468484750E0;-6.655848771E-2;1.446527839E0;4.759961367E-1
1.478494750E0;-1.815985292E-1;1.080330133E0;4.695209265E-1
1.488504750E0;-2.146396190E-1;8.303213120E-1;4.759677052E-1
1.498483750E0;-1.448808908E-1;8.230321407E-1;4.856048524E-1
1.508493750E0;-4.679135233E-2;9.702724218E-1;4.692261517E-1
1.518502750E0;-1.493533142E-2;1.072597265E0;4.043841362E-1
1.528512750E0;-5.892409384E-2;1.003437638E0;3.017573655E-1
1.538522750E0;-1.544914693E-1;8.067883253E-1;1.717739403E-1
1.548501750E0;-2.122602165E-1;5.663149953E-1;7.770124823E-2
1.558511750E0;-1.721537709E-1;4.159507453E-1;8.408918977E-3
1.568521750E0;-7.114619017E-2;4.161709845E-1;-4.841521382E-2
1.578531750E0;1.250055581E-1;5.756540298E-1;-4.367981851E-2
1.588510750E0;3.448652029E-1;7.798370123E-1;-2.715996280E-2
1.598520750E0;4.398714602E-1;7.574961782E-1;-2.546535805E-2
1.608529750E0;5.150027275E-1;6.758036613E-1;-9.154263884E-2
1.618539750E0;6.641522050E-1;4.958138764E-1;-1.423318088E-1
1.628549750E0;8.382595778E-1;3.103209734E-1;-1.610482484E-1
1.638528750E0;9.727376103E-1;1.823209524E-1;-1.625154167E-1
1.648538750E0;1.080510139E0;1.482585818E-1;-7.107205689E-2
1.658548750E0;1.184283853E0;3.053153455E-1;9.661702812E-2
1.668557750E0;1.193682671E0;4.502392411E-1;2.418557107E-1
1.678537750E0;1.091550589E0;4.908544123E-1;2.847723067E-1
1.688546750E0;8.778258562E-1;3.768817484E-1;2.694276869E-1
1.698556750E0;6.431998610E-1;1.798847169E-1;2.150485516E-1
1.708566750E0;4.603073001E-1;2.070118859E-2;1.479270458E-1
1.718576750E0;4.280387759E-1;-3.946904838E-2;1.132839173E-1
1.728555750E0;5.357055664E-1;-1.304676682E-1;1.840819269E-1
1.738565750E0;7.541465163E-1;-2.052400708E-1;3.148729205E-1
1.748574750E0;9.719414115E-1;-1.131618172E-1;3.899532855E-1
1.758584750E0;1.093916535E0;2.723556384E-2;4.683112800E-1
1.768594750E0;1.080414891E0;1.084238961E-1;5.733655691E-1
1.778573750E0;1.013692975E0;1.160732135E-1;6.723586917E-1
1.788583750E0;9.518989325E-1;7.342295349E-2;7.444781661E-1
1.798593750E0;9.315463305E-1;-1.512583196E-1;7.479371428E-1
1.808603750E0;8.318774700E-1;-3.572234511E-1;8.337567449E-1
1.818582750E0;7.607856989E-1;-3.737006187E-1;9.680580497E-1
1.828592750E0;7.317199707E-1;-2.718775868E-1;1.198231339E0
1.838601750E0;6.007950306E-1;-2.920555174E-1;1.623138666E0
1.848611750E0;4.925971925E-1;-3.689594567E-2;1.839485288E0
1.858621750E0;4.657041132E-1;4.113082886E-1;1.911497831E0
1.868600750E0;3.970973492E-1;6.419792771E-1;1.821468830E0
1.878610750E0;3.128005266E-1;6.516159177E-1;1.723719001E0
1.888620750E0;2.264541835E-1;4.742118120E-1;1.659148455E0
1.898629750E0;2.173116058E-2;7.748283446E-2;1.522207737E0
1.908609750E0;8.430106193E-2;1.516896784E-1;1.302164555E0
1.918618750E0;2.714844048E-1;3.484823406E-1;1.177869678E0
1.928628750E0;4.231777787E-1;3.616623282E-1;1.035092473E0
1.938638750E0;3.572612405E-1;1.370426714E-1;9.130852818E-1
1.948648750E0;2.513465285E-1;-1.854499336E-3;7.973975539E-1
1.958627750E0;1.251454204E-1;-1.417204887E-1;8.070690632E-1
1.968637750E0;3.371775895E-2;-2.252694368E-1;9.284013510E-1
1.978646750E0;1.916287839E-2;-3.115268052E-1;1.004495621E0
1.988656750E0;5.534032360E-2;-3.789817393E-1;1.015612841E0
1.998666750E0;6.803151965E-2;-2.915604413E-1;9.678789377E-1
2.008645750E0;1.442421973E-2;-1.358206272E-1;8.526822925E-1
2.018655750E0;-3.681824356E-2;3.889355063E-2;7.862067223E-1
2.028665750E0;-2.160147205E-2;1.231333315E-1;7.828109264E-1
2.038675750E0;5.965001881E-2;6.057551503E-2;7.902769446E-1
2.048654750E0;1.840936840E-1;-1.716462672E-1;8.090628982E-1
2.058664750E0;3.036615551E-1;-3.819037080E-1;8.102262020E-1
2.068673750E0;3.652341068E-1;-3.316456079E-1;7.399797440E-1
2.078683750E0;3.124637604E-1;-1.495331377E-1;5.965577960E-1
2.088693750E0;2.045431435E-1;-7.977881283E-2;4.403120279E-1
2.098672750E0;1.607995629E-1;-1.120679229E-1;3.306415975E-1
2.108682750E0;1.970095038E-1;-1.744399667E-1;2.672320008E-1
2.118692750E0;2.593195140E-1;-2.291301191E-1;2.391016483E-1
2.128701750E0;2.638279796E-1;-2.295034975E-1;1.949640214E-1
2.138681750E0;2.065567821E-1;-2.153136134E-1;1.452242732E-1
2.148723042E0;1.354224235E-1;-1.863195151E-1;1.105150357E-1
2.158733042E0;1.064235270E-1;-1.297622174E-1;9.154959768E-2
2.168743042E0;1.448705196E-1;-1.303728819E-1;9.087688476E-2
2.178753042E0;1.873167604E-1;-1.766197085E-1;1.152260676E-1
2.188732042E0;2.098998278E-1;-2.397217155E-1;1.569428891E-1
2.198742042E0;2.124214470E-1;-3.128071129E-1;1.957890242E-1
2.208751042E0;1.980504841E-1;-3.559676409E-1;2.242739350E-1
2.218761042E0;1.960848570E-1;-3.448425829E-1;2.182870805E-1
2.228771042E0;1.630166471E-1;-2.039073110E-1;1.539443135E-1
2.238750042E0;8.906839043E-2;-2.357667685E-2;7.803277671E-2
2.248760042E0;1.327056251E-2;3.503550217E-2;5.590267945E-3
2.258770042E0;1.136857830E-2;-9.711785242E-3;-9.188336134E-2
2.268780042E0;5.108083412E-2;-2.445584536E-2;-2.693572342E-1
2.278759042E0;8.176752180E-2;-5.074722692E-2;-4.213770926E-1
2.288769042E0;1.037647054E-1;-2.219707333E-2;-7.228690386E-1
2.298778042E0;8.748238534E-2;-5.745836347E-2;-1.124613643E0
2.308788042E0;1.297752410E-1;-1.138555929E-1;-1.413321853E0
2.318798042E0;1.935353130E-1;-1.743950993E-1;-1.851145506E0
2.328777042E0;2.356252261E-2;-5.347040296E-1;-2.322638035E0
2.338787042E0;-2.737091482E-1;-8.518801928E-1;-2.579293728E0
2.348797042E0;-4.820447862E-1;-7.992889285E-1;-2.648660183E0
2.358806042E0;-4.747657776E-1;-2.975177467E-1;-2.695431709E0
2.368786042E0;-2.781051695E-1;1.127499640E-1;-2.646114349E0
2.378795042E0;2.570026368E-2;1.252083629E-1;-2.444144964E0
2.388805042E0;2.147431523E-1;-6.272505224E-2;-2.113809109E0
2.398815042E0;2.901726365E-1;-2.097845227E-1;-1.843905449E0
2.408825042E0;3.192610145E-1;-2.766011059E-1;-1.601955891E0
2.418804042E0;2.643346190E-1;-6.268392205E-1;-1.292339206E0
2.428814042E0;3.358261287E-1;-4.609203041E-1;-1.026661158E0
2.438824042E0;4.219739139E-1;-3.175346553E-1;-6.610519290E-1
2.448833042E0;4.934326410E-1;-3.401097357E-1;-2.884104848E-1
2.458843042E0;4.006662965E-1;-2.693615556E-1;2.641296014E-4
2.468822042E0;2.759440541E-1;-2.156192511E-1;1.200919896E-1
2.478832042E0;1.794328243E-1;-1.621978581E-1;2.529438436E-1
2.488842042E0;9.723090380E-2;-2.941370755E-2;5.250136852E-1
2.498852042E0;1.404731348E-2;1.948481798E-1;8.131154776E-1
2.508831042E0;-4.969917238E-2;5.249683261E-1;1.086270332E0
2.518841042E0;-6.340748072E-2;7.490314245E-1;1.383181930E0
2.528850042E0;-2.256764472E-2;7.799502015E-1;1.658956289E0
2.538860042E0;1.128208041E-1;7.464457750E-1;2.035050154E0
2.548870042E0;3.803046942E-1;7.328183651E-1;2.544517040E0
2.558849042E0;7.136053443E-1;7.589532733E-1;3.083910704E0
2.568859042E0;8.191403151E-1;5.603048801E-1;3.484657288E0
2.578869042E0;8.107150197E-1;3.318856657E-1;3.577705860E0
2.588878042E0;8.394300342E-1;4.978735745E-1;3.023577929E0
2.598858042E0;7.228660583E-1;3.503876925E-1;2.476356506E0
2.608867042E0;4.603867233E-1;-2.115827203E-1;2.108270168E0
2.618877042E0;1.276570410E-1;-6.013975143E-1;1.736469150E0
2.628887042E0;-2.675869465E-1;-3.205037713E-1;1.403456807E0
2.638897042E0;-5.521184802E-1;2.407797426E-1;1.117566109E0
2.648876042E0;-6.879199743E-1;5.796795487E-1;9.914057255E-1
2.658886042E0;-7.907459736E-1;4.382565320E-1;9.869961739E-1
2.668896042E0;-7.645918727E-1;1.983400732E-1;1.046655655E0
2.678905042E0;-6.603691578E-1;-2.127363533E-2;1.160967588E0
2.688915042E0;-5.299797058E-1;-1.995030344E-1;1.245658994E0
2.698894042E0;-3.443645239E-1;-4.172376692E-1;1.312820673E0
2.708904042E0;-5.799296498E-2;-6.937734485E-1;1.424988031E0
2.718914042E0;1.611539423E-1;-9.409575462E-1;1.529440045E0
2.728924042E0;2.877353132E-1;-1.202414989E0;1.579441905E0
2.738903042E0;3.355047107E-1;-1.384279847E0;1.611774564E0
2.748913042E0;4.047517180E-1;-1.466847658E0;1.640263200E0
2.758922042E0;5.688824654E-1;-1.677162409E0;1.581203341E0
2.768932042E0;6.106722951E-1;-1.789818168E0;1.401091576E0
2.778942042E0;6.262065172E-1;-1.636485100E0;1.218866706E0
2.788921042E0;6.534972787E-1;-1.514023900E0;1.112800717E0
2.798931042E0;5.747122169E-1;-1.335711241E0;9.913246036E-1
2.808941042E0;3.803768456E-1;-9.862318039E-1;9.249365330E-1
2.818950042E0;2.817228734E-1;-7.632763386E-1;7.940565944E-1
2.828930042E0;1.088464335E-1;-4.225722849E-1;5.580818653E-1
2.838939042E0;-2.404663526E-2;-7.193543762E-2;5.304089785E-1
2.848949042E0;-1.765056849E-1;3.279949129E-1;6.352541447E-1
2.858959042E0;-2.476222962E-1;5.188997984E-1;8.339115381E-1
2.868969042E0;-2.987086475E-1;5.816473365E-1;6.144319177E-1
2.878948042E0;-4.725481570E-1;7.859676480E-1;8.652301431E-1
2.888958042E0;-3.873874545E-1;6.738288999E-1;7.821152806E-1
2.898968042E0;-3.478988409E-1;5.096746087E-1;7.095286250E-1
2.908977042E0;-2.986548543E-1;2.358888984E-1;7.029673457E-1
2.918987042E0;-1.840252429E-1;-6.441513449E-2;5.614314675E-1
2.928966042E0;-1.008944064E-1;-1.502096504E-1;4.766547978E-1
2.938976042E0;-3.761471063E-2;-1.598981470E-1;4.340337217E-1
2.948986042E0;-1.082437579E-2;-1.258128881E-1;4.043219090E-1
2.958996042E0;-3.167756274E-2;-9.131566435E-2;4.128830731E-1
2.968975042E0;-5.546225607E-2;-9.066238999E-2;4.330232143E-1
2.978985042E0;-9.391100705E-2;-7.453691214E-2;4.693887830E-1
2.988994042E0;-9.658775479E-2;-3.925189003E-2;5.216517448E-1
2.999004042E0;-9.416282177E-2;1.112950221E-1;6.058240533E-1
3.009014042E0;-6.837835908E-2;2.562530041E-1;6.451094151E-1
3.018993042E0;5.919566005E-2;9.926754236E-2;6.719688773E-1
3.029003042E0;-4.238821939E-2;3.392875791E-1;6.869944334E-1
3.039013042E0;-6.808935404E-1;1.649354696E0;1.345748901E0
3.049022042E0;-6.496088505E-1;2.079941750E0;1.696961761E0
3.059032042E0;-3.032094538E-1;1.525833964E0;1.632914305E0
3.069012042E0;6.189288199E-2;7.937576175E-1;1.441429257E0
3.079021042E0;2.457444370E-1;4.503249824E-1;1.261424303E0
3.089031042E0;2.948288918E-1;-9.979434311E-2;1.153834820E0
3.099041042E0;2.173961401E-1;-5.566611886E-1;1.075110555E0
