"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
8.800555000E-1;1.683401692E-1;-1.426097891E-1;-5.921112764E-1
8.900355000E-1;-8.653455243E-2;1.784792411E-1;-7.382162386E-1
9.000445000E-1;-1.524399818E-1;2.269783866E-1;-8.859478962E-1
9.100545000E-1;1.973992230E-1;1.050358737E-1;-1.091686857E0
9.200335000E-1;5.460834566E-1;4.022884369E-3;-1.208696659E0
9.300435000E-1;6.441244523E-1;-3.153900415E-2;-1.038985902E0
9.400535000E-1;7.335440210E-1;-1.135614064E-1;-8.388064742E-1
9.500635000E-1;8.744442303E-1;-1.470001709E-1;-8.575660962E-1
9.600425000E-1;1.097177831E0;-4.454467356E-2;-9.462677729E-1
9.700525000E-1;1.240555505E0;9.511022508E-2;-8.867378551E-1
9.800615000E-1;1.083608051E0;1.357474968E-1;-6.893639213E-1
9.900415000E-1;8.801636843E-1;1.931004962E-1;-6.767631716E-1
1.000050500E0;7.520775019E-1;2.599607760E-1;-6.667843133E-1
1.010060500E0;6.784455617E-1;2.990570140E-1;-6.767169785E-1
1.020039500E0;7.666477400E-1;2.338152435E-1;-7.246524525E-1
1.030049500E0;1.092567594E0;1.770051581E-1;-7.400165963E-1
1.040059500E0;1.268792295E0;2.771258622E-1;-5.878428090E-1
1.050069500E0;1.284352759E0;4.816632199E-1;-3.635512179E-1
1.060048500E0;1.279691505E0;4.193576288E-1;-3.023548436E-1
1.070058500E0;1.330824090E0;3.539378107E-1;-3.325586361E-1
1.080067500E0;1.574652252E0;5.907699251E-1;-4.273566198E-1
1.090047500E0;1.546743784E0;7.928719175E-1;-8.867027718E-1
1.100056500E0;1.228174611E0;7.857386068E-1;-1.405924412E0
1.110066500E0;9.247371554E-1;6.496440777E-1;-1.575097225E0
1.120100750E0;9.236633143E-1;4.093583053E-1;-1.388959301E0
1.130079750E0;1.099950727E0;3.044037080E-1;-1.039456603E0
1.140089750E0;1.203583561E0;3.251943603E-1;-7.360615396E-1
1.150099750E0;1.074501598E0;2.356223255E-1;-5.060320759E-1
1.160078750E0;6.068877751E-1;4.331295758E-2;-3.595470446E-1
1.170088750E0;6.029514295E-1;9.513858408E-2;-3.001463503E-1
1.180098750E0;6.838482428E-1;5.028663933E-1;-4.943996251E-1
1.190077750E0;5.850653815E-1;6.067901266E-1;-8.582198149E-1
1.200087750E0;8.221498033E-1;4.872344470E-1;-1.028945063E0
1.210096750E0;1.275364857E0;2.370993322E-1;-6.451642334E-1
1.220106750E0;1.382217753E0;3.985199064E-2;-8.511674881E-2
1.230085750E0;9.084064668E-1;1.620710769E-1;7.511391699E-2
1.240095750E0;2.874362576E-1;2.541986373E-1;-5.327515125E-2
1.250105750E0;7.086357594E-2;2.103857428E-1;-5.241151750E-1
1.260084750E0;1.170475164E-1;1.652934775E-1;-1.290690410E0
1.270094750E0;4.899177343E-1;-5.572864294E-2;-1.540147247E0
1.280104750E0;8.403516009E-1;-1.941135263E-1;-1.045219034E0
1.290113750E0;9.370280027E-1;-4.233349049E-1;-9.364310020E-1
1.300093750E0;1.142858180E0;-9.093221408E-1;-1.058453622E0
1.310102750E0;6.182088616E-1;-1.232422321E0;-1.120373881E0
1.320112750E0;-2.650452223E-1;-1.019048651E0;-1.257047285E0
1.330091750E0;-8.077086425E-1;-7.709761414E-1;-1.211762938E0
1.340101750E0;-8.167747504E-1;-7.192434856E-1;-1.085884665E0
1.350111750E0;-5.286531991E-1;-8.739105257E-1;-1.036303784E0
1.360090750E0;-6.867496312E-2;-9.028750008E-1;-9.011120653E-1
1.370100750E0;1.314247672E0;-4.992194849E-1;-6.027309895E-3
1.380110750E0;1.617839202E0;-2.745229742E-1;7.326268852E-1
1.390120750E0;1.176985454E0;-2.756775069E-1;1.016861207E0
1.400099750E0;1.066481849E0;-2.218652889E-1;1.472321885E0
1.410109750E0;3.017379624E-1;-7.677277207E-2;1.368774127E0
1.420118750E0;-3.974779326E-1;1.575356841E-2;9.462607563E-1
1.430098750E0;-9.518033320E-1;-5.545382380E-2;6.780466354E-1
1.440107750E0;-1.190971409E0;-2.406895226E-1;6.180390000E-1
