"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
1.213751352E0;4.581489041E-2;1.509814501E0;-1.293910265E0
1.233446588E0;-2.510656118E-1;1.848844767E0;-1.623166680E0
1.253473897E0;-1.221730560E-1;2.116403818E0;-2.009844542E0
1.273413474E0;-3.781255782E-1;2.041878223E0;-2.108804703E0
1.283470237E0;-7.635815740E-1;1.941696286E0;-2.059324503E0
1.294183618E0;-1.105055213E0;1.798753738E0;-2.008622646E0
1.313915404E0;-1.169806957E0;2.062647581E0;-2.006790161E0
1.324239202E0;-9.553932548E-1;2.476814270E0;-2.068487644E0
1.343631050E0;-5.235115290E-1;3.265441179E0;-2.170501947E0
1.366213762E0;-1.478293896E0;2.989330053E0;-2.267629623E0
1.383335000E0;-1.478293896E0;2.989330053E0;-2.267629623E0
1.394667000E0;-1.729970336E0;2.638082743E0;-2.251747131E0
1.413380000E0;-1.574199677E0;2.346089125E0;-2.320163965E0
1.423399000E0;-1.278540969E0;2.417560339E0;-2.353150845E0
1.443357000E0;-5.809328556E-1;2.694282293E0;-2.333603144E0
1.463303000E0;-1.273043156E0;2.369302034E0;-2.480210781E0
1.473369000E0;-1.775174379E0;2.022330523E0;-2.513197422E0
1.483434000E0;-2.169182539E0;1.718119621E0;-2.538853884E0
1.493493000E0;-2.380541801E0;1.523253560E0;-2.602994680E0
1.513417000E0;-2.271807909E0;1.489045143E0;-2.781367302E0
1.523583000E0;-2.042122602E0;1.640539646E0;-2.868721008E0
1.543403000E0;-1.398270488E0;2.162218571E0;-3.074582577E0
1.563323000E0;-7.452555895E-1;2.618535042E0;-3.224244595E0
1.573640000E0;-4.740314186E-1;2.760866642E0;-3.248679161E0
1.593340000E0;-1.117883474E-1;2.827450752E0;-3.250511885E0
1.603456000E0;-1.710422710E-2;2.725436449E0;-3.265783310E0
1.623439000E0;1.221731305E-3;2.155498981E0;-3.172931910E0
1.647878000E0;-1.026253551E-1;1.744997621E0;-2.948133469E0
1.663348000E0;-2.052507252E-1;1.428569436E0;-2.681185484E0
1.673533000E0;-2.394591868E-1;1.304563761E0;-2.544351578E0
1.693390000E0;-2.840523422E-1;1.074878454E0;-2.253579617E0
1.713301000E0;-3.286454976E-1;7.529525161E-1;-1.913327694E0
1.723450000E0;-3.561344147E-1;5.910732150E-1;-1.759389639E0
1.743479000E0;-4.080579877E-1;2.422691733E-1;-1.529093385E0
1.763501000E0;-4.868595898E-1;-1.547932476E-1;-1.325675249E0
1.783272000E0;-6.291912198E-1;-5.384166241E-1;-1.113705039E0
1.793485000E0;-6.768386960E-1;-7.143458128E-1;-9.848124981E-1
1.813323000E0;-7.202101350E-1;-1.029552341E0;-6.812124848E-1
1.823456000E0;-7.550294399E-1;-1.170051336E0;-4.454185069E-1
1.843353000E0;-7.183775306E-1;-1.112019062E0;-2.933130562E-1
1.853491000E0;-6.658431292E-1;-1.036882639E0;-2.340591252E-1
1.874906000E0;-4.783074856E-1;-8.585100174E-1;-1.170417760E-2
1.893308000E0;-3.524692357E-1;-6.660874486E-1;-8.038987406E-3
1.910988000E0;-2.999348342E-1;-5.512447953E-1;1.761735417E-2
1.925926000E0;-1.032362282E-1;-3.985284865E-1;9.065240622E-3
1.938032000E0;-6.108652800E-3;-3.514918685E-1;-1.292590890E-2
1.953443500E0;3.213151395E-1;-2.494773567E-1;-9.417098016E-2
1.968468750E0;3.213151395E-1;-2.494773567E-1;-9.417098016E-2
1.985107000E0;3.579670489E-1;-2.171014994E-1;-8.134281635E-2
2.004492000E0;2.883284092E-1;-1.670105606E-1;-4.346917197E-2
2.014577000E0;2.883284092E-1;-1.670105606E-1;-4.346917197E-2
2.027237000E0;1.985311955E-1;1.481959075E-1;-7.279069722E-2
2.044956000E0;1.722639948E-1;3.345097899E-1;-2.365025878E-1
2.063443000E0;2.400700301E-1;5.073846579E-1;-5.639263988E-1
2.073536000E0;3.048217595E-1;5.825210810E-1;-7.471859455E-1
2.083633000E0;3.677408993E-1;6.558248997E-1;-8.693590164E-1
2.093738000E0;4.019493461E-1;7.150788307E-1;-8.797436953E-1
2.113360000E0;3.952298164E-1;7.498981357E-1;-7.807835340E-1
2.124434000E0;3.842342496E-1;7.486764193E-1;-7.459642291E-1
2.146508000E0;4.868596196E-1;7.700567245E-1;-6.989275813E-1
2.164398000E0;7.892379165E-1;7.822740078E-1;-7.661227584E-1
2.183323000E0;1.050077319E0;9.814161062E-1;-7.490185499E-1
2.193874000E0;1.188132882E0;1.141462803E0;-6.195151210E-1
2.213404000E0;1.518610954E0;1.592892170E0;2.155376971E-1
2.223580000E0;1.524108768E0;1.748662829E0;4.989791512E-1
2.233894000E0;1.443474531E0;1.890383601E0;7.524882555E-1
2.253405000E0;1.103833556E0;2.079140902E0;1.172152758E0
2.273631000E0;7.580837607E-1;2.237965822E0;1.503852487E0
2.283797000E0;6.487389207E-1;2.317378283E0;1.636410356E0
2.303270000E0;5.418374538E-1;2.443827391E0;1.790348291E0
2.313337000E0;5.314527750E-1;2.474370718E0;1.812339544E0
2.323451000E0;5.332853794E-1;2.468873024E0;1.812339544E0
2.343320000E0;6.707300544E-1;2.459709883E0;1.745755196E0
2.363301000E0;9.101892114E-1;2.422447205E0;1.734759569E0
2.373449000E0;9.749408960E-1;2.403510332E0;1.739646554E0
2.393318000E0;9.877691269E-1;2.330817461E0;1.793402672E0
2.413332000E0;1.006095052E0;2.109684229E0;1.795235276E0
2.423577000E0;1.037249207E0;2.049208641E0;1.736592174E0
2.443410000E0;1.079398870E0;1.944139719E0;1.640686393E0
