"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
9.202302917E-1;-1.834734650E0;5.294190674E0;7.951464844E0
9.302092917E-1;-2.031275940E0;5.606141968E0;8.140072632E0
9.402192917E-1;-2.104324036E0;5.622458038E0;8.641080780E0
9.502282917E-1;-2.001936951E0;5.525609436E0;8.633596344E0
9.602382917E-1;-1.976340179E0;5.286406860E0;8.218808899E0
9.702172917E-1;-1.985471191E0;4.678071899E0;7.402705994E0
9.802272917E-1;-1.904489594E0;4.156706085E0;6.034251709E0
9.902372917E-1;-1.934577026E0;4.513264618E0;4.902904358E0
1.000247292E0;-2.193388824E0;5.359454956E0;4.813540192E0
1.010226292E0;-2.777773590E0;5.599855042E0;5.524561615E0
1.020236292E0;-3.401975555E0;5.407954102E0;6.567592621E0
1.030245292E0;-3.745211792E0;5.485492859E0;7.872578888E0
1.040255292E0;-3.886368256E0;5.640720062E0;8.798104248E0
1.050234292E0;-4.085154877E0;5.340594177E0;9.037306824E0
1.060244292E0;-4.057312775E0;4.816983032E0;8.786278839E0
1.070254292E0;-3.575614471E0;4.810995483E0;7.787106628E0
1.080264292E0;-2.862048340E0;5.227429504E0;6.650220795E0
1.090274292E0;-2.568359070E0;5.554649048E0;5.806575165E0
1.100253292E0;-2.477048950E0;6.005361786E0;4.925956421E0
1.110263292E0;-2.586621094E0;6.432723083E0;4.020040283E0
1.120272292E0;-3.205733643E0;6.087989960E0;4.070635071E0
1.130282292E0;-4.387226715E0;5.247338104E0;4.861739960E0
1.140261292E0;-5.805826721E0;4.036506042E0;6.419101410E0
1.150271292E0;-5.566025391E0;2.277813263E0;8.220605164E0
1.160281292E0;-4.546794891E0;2.952460327E0;7.784412231E0
1.170291292E0;-4.256249084E0;4.393363953E0;7.200925598E0
1.180270292E0;-4.906646576E0;5.570066986E0;5.917045441E0
1.190280292E0;-7.698041840E0;7.660769348E0;5.808970184E0
1.200289292E0;-1.047880920E1;8.723110199E0;6.293961639E0
1.210299292E0;-9.823471985E0;7.996670837E0;4.297563171E0
1.220278292E0;-8.854387207E0;7.393275604E0;2.929557953E0
1.230288292E0;-8.424032135E0;6.177503815E0;2.957998810E0
1.240298292E0;-7.876171417E0;5.056784363E0;3.798650665E0
1.250308292E0;-7.488028564E0;4.927153931E0;4.996010742E0
1.260317292E0;-7.464677124E0;5.130580902E0;6.053711243E0
1.270297292E0;-7.912096710E0;5.377417603E0;6.901697845E0
1.280306292E0;-8.437953186E0;5.329068146E0;6.887327728E0
1.290316292E0;-9.327104187E0;4.743336182E0;6.330186310E0
1.300326292E0;-9.734257507E0;4.611460419E0;5.653443604E0
1.310305292E0;-9.355395355E0;5.051096191E0;4.381538544E0
1.320315292E0;-8.249495087E0;5.768853607E0;3.291954346E0
1.330325292E0;-7.251520386E0;6.448889465E0;2.460732880E0
1.340335292E0;-7.071594543E0;6.237379303E0;2.916535034E0
1.350314292E0;-7.331753540E0;5.966891785E0;3.811074829E0
1.360324292E0;-7.549700317E0;5.942342834E0;4.610412598E0
1.370333292E0;-7.523055725E0;5.430557098E0;4.952151947E0
1.380343292E0;-7.231911163E0;5.366789703E0;5.322332153E0
1.390322292E0;-6.980284424E0;5.470074921E0;5.476062469E0
1.400332292E0;-6.902595978E0;5.521418152E0;5.342839508E0
1.410342292E0;-6.845414886E0;5.679040375E0;5.213658142E0
1.420352292E0;-6.402485962E0;5.584886169E0;4.957690430E0
1.430331292E0;-5.514981537E0;5.043761444E0;4.280199280E0
1.440341292E0;-4.780608673E0;4.620441742E0;3.988156586E0
1.450350292E0;-4.273463287E0;4.480033722E0;3.916605377E0
1.460360292E0;-4.049379272E0;4.271517334E0;3.462749176E0
1.470370292E0;-3.895349579E0;4.465513916E0;3.273243256E0
1.480349292E0;-3.938310242E0;4.573738861E0;3.745960236E0
1.490370375E0;-4.279600525E0;4.594844971E0;4.593198395E0
1.500380375E0;-4.620441742E0;5.054539032E0;5.547613678E0
1.510390375E0;-4.977299652E0;5.857169952E0;6.579867096E0
1.520369375E0;-5.386698303E0;6.404132538E0;7.336094513E0
1.530379375E0;-5.569468231E0;6.419101410E0;7.509583740E0
1.540388375E0;-5.431305542E0;6.295608215E0;7.438631287E0
1.550398375E0;-5.107977905E0;6.093827820E0;7.181915131E0
1.560377375E0;-4.588408356E0;5.616320801E0;6.882687378E0
