"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
1.052035917E0;-1.871075387E-1;-3.987007608E0;-3.748357594E-1
1.062045917E0;-3.236368082E-2;-4.030721977E0;-6.324728519E-1
1.072055917E0;1.033267325E-1;-4.184425396E0;-7.791882634E-1
1.082065917E0;3.977920011E-1;-4.138772675E0;-1.015782396E0
1.092044917E0;6.504869539E-1;-4.303030903E0;-9.228303784E-1
1.102054917E0;3.538403083E-1;-4.291050543E0;-4.581597519E-1
1.112064917E0;2.498486012E-2;-3.932435544E0;-3.981673193E-1
1.122043917E0;-4.245600428E-1;-3.362930188E0;-5.922568721E-1
1.132053917E0;-3.972906755E-1;-3.116760070E0;-4.502239108E-1
1.142062917E0;-1.306532563E-1;-3.315489389E0;-6.570083535E-1
1.152072917E0;1.057625364E-1;-3.655200924E0;-9.390651727E-1
1.162051917E0;5.456380449E-1;-4.014880700E0;-6.764439136E-1
1.172061917E0;1.191333936E0;-3.856117101E0;-4.528586662E-1
1.182071917E0;2.252902078E0;-3.799383906E0;-6.340217793E-1
1.192050917E0;2.771415620E0;-4.676310718E0;3.711689705E-1
1.202060917E0;2.674765823E0;-4.696840877E0;1.581841403E0
1.212070917E0;6.365194175E-1;-4.580090107E0;1.067264206E0
1.222049917E0;1.315090548E0;-4.492552611E0;8.024379623E-1
1.232059917E0;1.449931142E0;-5.065696104E0;1.807350969E-1
1.242068917E0;9.239621070E-1;-5.832136853E0;-4.275261891E-1
1.252078917E0;1.491793697E0;-6.468804497E0;-3.752251840E-1
1.262057917E0;2.397379467E0;-6.836546999E0;-7.427191794E-1
1.272067917E0;3.500183635E0;-7.138814719E0;-7.720143145E-1
1.282077917E0;3.777245763E0;-7.488716782E0;-2.737198591E-1
1.292056917E0;2.660563229E0;-8.060338245E0;7.409533203E-1
1.302066917E0;1.910415162E0;-8.791602729E0;1.230596820E0
1.312076917E0;2.030447974E0;-8.918115426E0;8.077513272E-1
1.322055917E0;1.818539032E0;-8.635350509E0;5.762366706E-1
1.332065917E0;1.133444747E0;-8.804618631E0;1.204055139E0
1.342075917E0;4.980681682E-1;-8.580269153E0;1.462279876E0
1.352084917E0;-2.877870905E-1;-8.117861398E0;9.278110367E-1
1.362064917E0;-9.070557600E-1;-7.961089945E0;3.381795645E-1
1.372073917E0;-5.496476269E-1;-8.336646667E0;5.763582927E-1
1.382083917E0;5.472888601E-1;-8.966468976E0;1.081005163E0
1.392062917E0;1.654446865E0;-9.071631149E0;1.438259515E0
1.402072917E0;1.992565033E0;-8.853311904E0;2.178722838E0
1.412082917E0;2.156394660E0;-8.296132479E0;2.900995474E0
1.422092917E0;2.147969992E0;-7.733905737E0;2.968446030E0
1.432071917E0;1.816554487E0;-7.764219457E0;3.117797366E0
1.442081917E0;1.688707455E0;-7.797172610E0;3.220858051E0
1.452090917E0;2.229462637E0;-7.198989585E0;3.223703306E0
1.462070917E0;3.436393436E0;-6.256409651E0;3.993269391E0
1.472079917E0;5.083952866E0;-5.175088738E0;4.856900804E0
1.482089917E0;6.274661735E0;-4.091334214E0;5.685640127E0
1.492068917E0;6.916884234E0;-3.593940230E0;6.558587909E0
1.502078917E0;7.561827443E0;-3.425687769E0;6.468663579E0
1.512088917E0;7.082390258E0;-3.073531313E0;5.962166065E0
1.522098917E0;5.543383802E0;-2.216130985E0;5.829889768E0
1.532077917E0;4.088250977E0;-1.468910619E0;5.235932525E0
1.542087917E0;3.430491841E0;-9.788417342E-1;4.538514065E0
1.552097917E0;3.396275105E0;-4.075433296E-1;4.070631562E0
1.562076917E0;3.820394121E0;4.664183593E-1;3.369263892E0
1.572086917E0;3.996778305E0;1.385941260E0;3.488548261E0
1.582095917E0;3.190821488E0;1.581982029E0;3.630637940E0
1.592105917E0;2.773618559E0;1.185965900E0;3.116274751E0
1.602084917E0;2.051190972E0;4.699404296E-1;2.720357441E0
1.612094917E0;1.548684182E0;3.410093245E-1;2.366303855E0
1.622104917E0;8.237452161E-1;7.521448910E-2;2.038370367E0
1.632083917E0;-6.723093474E-1;-3.560501173E-1;9.960977447E-1
1.642093917E0;-1.256968347E0;-6.999014810E-1;6.677795094E-1
1.652103917E0;-2.154125941E0;-1.350526721E0;5.846929139E-1
1.662082917E0;-2.524113189E0;-2.007835329E0;4.664253759E-1
1.672092917E0;-2.645728258E0;-2.709744160E0;3.157157314E-1
1.682101917E0;-2.854127702E0;-2.959565864E0;1.744861776E-1
1.692111917E0;-2.821315466E0;-2.845701864E0;5.704268771E-1
1.702090917E0;-2.693667240E0;-2.890435695E0;1.094839675E0
1.712100917E0;-2.254071229E0;-2.956466839E0;1.498395204E0
1.722110917E0;-1.504937654E0;-3.340354966E0;1.573127298E0
1.732089917E0;-1.731327810E0;-3.580788380E0;1.224353163E0
1.742099917E0;-1.439285116E0;-3.111575344E0;1.598159813E0
1.752109917E0;-8.925049639E-1;-3.952739416E0;2.082280617E0
1.762118917E0;1.602382672E-1;-4.178318271E0;1.858355062E0
1.772098917E0;1.933603465E0;-4.082477144E0;1.978610653E0
1.782108917E0;3.509311139E0;-4.309065522E0;2.002290123E0
1.792117917E0;4.475713799E0;-4.350306518E0;2.479236978E0
1.802097917E0;4.404239774E0;-4.108939303E0;3.192886140E0
1.812106917E0;3.939938107E0;-4.700917263E0;4.371889468E0
1.822116917E0;3.144757708E0;-5.770079184E0;5.250598512E0
1.832095917E0;2.043646309E0;-6.796632736E0;5.773375844E0
1.842105917E0;1.474545581E0;-7.668036852E0;5.554902817E0
1.852115917E0;1.573279325E0;-8.240659944E0;5.491362879E0
1.862125917E0;-1.540829033E-1;-8.584258123E0;5.387167250E0
1.872104917E0;-7.528722847E-1;-8.747587228E0;5.474429927E0
1.882114917E0;-9.065552384E-1;-9.464571058E0;5.257955478E0
1.892118875E0;-6.538321459E-1;-9.972277776E0;3.971400805E0
1.902098875E0;-3.340514302E-1;-9.841179693E0;2.918569865E0
1.912107875E0;2.115195179E-1;-8.894587399E0;1.097808892E0
1.922117875E0;5.285274839E-1;-9.809850311E0;-3.267236996E-1
1.932127875E0;-1.768431902E-2;-1.034158909E1;-1.261762480E0
1.942106875E0;-6.879161507E-1;-1.006317391E1;-1.626794797E0
1.952116875E0;-1.535330311E0;-9.559112349E0;-8.096791542E-1
1.962126875E0;-2.134592732E0;-8.670225057E0;6.245551372E-1
1.972105875E0;-1.967861717E0;-7.931268561E0;2.200824144E0
1.982115875E0;-1.721298666E0;-7.417452672E0;3.632034255E0
1.992124875E0;-1.417449274E0;-6.911918778E0;4.782458732E0
2.002104875E0;8.835727572E-2;-6.519557160E0;6.224896082E0
2.012113875E0;6.982616293E-1;-6.003079033E0;3.981059235E0
2.022123875E0;5.248250270E-1;-3.995266215E0;2.307697213E0
2.032133875E0;-3.443542242E-1;-4.172612851E0;7.908901792E0
2.042112875E0;-3.470813656E-1;-3.960398976E0;1.019920471E1
2.052122875E0;1.888703281E-1;-4.334077571E0;3.944280834E0
2.062132875E0;-2.130100901E0;-3.728816199E0;5.115750609E0
2.072111875E0;-2.129670546E0;-3.885398495E0;6.483758166E0
2.082121875E0;-3.501752443E0;-3.532442139E0;4.787378579E0
2.092131875E0;-4.473280773E0;-2.669816740E0;3.878369849E0
2.102110875E0;-5.223916497E0;-2.393688120E0;2.128283587E0
2.112120875E0;-5.423773159E0;-1.357058646E0;1.081102227E0
2.122129875E0;-5.188178315E0;-5.127087191E-1;1.921745896E-1
2.132139875E0;-5.064362354E0;-6.143999854E-1;-1.195930433E0
2.142118875E0;-5.237237624E0;-4.535828438E-1;-1.679425585E0
2.152128875E0;-5.439533159E0;-5.976079515E-1;-2.368985388E0
2.162138875E0;-6.020035958E0;-1.644751889E0;-2.348610181E0
2.172117875E0;-6.212819828E0;-2.216290906E0;-1.994498123E0
2.182127875E0;-5.616858745E0;-2.798613651E0;-1.198359951E0
2.192137875E0;-4.630419431E0;-3.210257926E0;-6.383621675E-1
2.202146875E0;-3.969547237E0;-2.732024682E0;-2.186577988E-1
2.212126875E0;-3.156802973E0;-1.704337355E0;-1.033413506E-1
2.222135875E0;-2.526942072E0;-7.739421415E-1;1.542016017E-1
2.232145875E0;-2.043077960E0;9.707664371E-2;5.067273098E-1
2.242124875E0;-1.334997686E0;7.021716624E-2;7.148712301E-1
2.252134875E0;-6.406174386E-1;-9.077135718E-1;1.146546603E0
2.262144875E0;-9.002466774E-1;-1.831650536E0;2.074086914E0
2.272123875E0;-2.387847337E0;-2.097763752E0;3.513488975E0
2.282133875E0;-2.951571550E0;-2.638999867E0;4.357334579E0
2.292143875E0;-2.736799811E0;-2.935318337E0;4.710020501E0
2.302153875E0;-2.177084448E0;-2.458995964E0;4.643817741E0
2.312132875E0;-1.214554399E0;-1.926079853E0;4.087825885E0
2.322142875E0;-4.471061754E-1;-1.636398264E0;3.433629457E0
2.332151875E0;-3.841386795E-2;-1.394916151E0;2.747569798E0
2.342131875E0;-2.662763536E-1;-1.595385309E0;2.262866026E0
2.352140875E0;-9.315772283E-1;-2.207951023E0;2.002547985E0
2.362150875E0;-1.869716202E0;-2.866715587E0;1.997743328E0
2.372160875E0;-2.677193879E0;-3.421639742E0;2.517653185E0
2.382139875E0;-2.918041277E0;-3.727425731E0;3.148882334E0
2.392149875E0;-2.377170321E0;-3.913286205E0;3.754299535E0
