"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
1.428643614E0;-1.218648672E0;3.750516891E0;9.387664795E0
1.439304614E0;-1.179144382E0;3.787626982E0;9.427168846E0
1.459401614E0;-9.672574997E-1;4.170699596E0;7.976283073E0
1.478238614E0;-8.726865053E-1;3.580528736E0;7.802703381E0
1.488586614E0;-7.553706169E-1;3.562572241E0;7.796717644E0
1.509681614E0;-1.085770488E0;3.576937437E0;7.903259754E0
1.529684614E0;-2.032677174E0;4.351461411E0;8.097189903E0
1.548987614E0;-2.310404539E0;4.168305397E0;8.815450668E0
1.568204614E0;-2.509123325E0;4.107253075E0;9.009381294E0
1.578578614E0;-3.033453465E0;4.283226967E0;9.607931137E0
1.589314614E0;-2.962824583E0;4.200626850E0;9.692925453E0
1.608518614E0;-2.287659645E0;3.810372114E0;9.776722908E0
1.628791614E0;-1.855506301E0;3.315969467E0;9.042900085E0
1.648793614E0;-1.790862918E0;3.740940094E0;8.911218643E0
1.668230614E0;-2.014720678E0;4.487931252E0;8.878896713E0
1.678543614E0;-1.976413488E0;4.461595058E0;8.766369820E0
1.688805614E0;-2.044648170E0;4.121618271E0;8.785523415E0
1.709333614E0;-2.226607561E0;4.171896458E0;9.002198219E0
1.728658614E0;-2.530671120E0;4.290409565E0;8.906430244E0
1.748762614E0;-2.682703018E0;4.195838451E0;8.452729225E0
1.768545614E0;-2.557007313E0;2.638410330E0;8.777143478E0
1.788650614E0;-2.703053713E0;4.066551685E0;8.963891029E0
1.808596614E0;-1.910573006E0;5.210979939E0;8.821435928E0
1.828540614E0;-1.948880196E0;4.556165695E0;8.202534676E0
1.838588614E0;-1.812410712E0;4.410119534E0;8.233659744E0
1.848782614E0;-1.909375906E0;4.213795185E0;8.596381187E0
1.868511614E0;-2.516305923E0;3.732560396E0;8.216899872E0
1.878562614E0;-2.646790028E0;3.648763418E0;8.040925980E0
1.898983614E0;-2.606088638E0;3.920505285E0;7.775169849E0
1.909373614E0;-2.464830637E0;3.950432777E0;7.915230751E0
1.928873614E0;-2.006340981E0;4.070142746E0;8.452729225E0
1.948471614E0;-1.385045648E0;4.437653065E0;8.366538048E0
1.959091614E0;-1.349132657E0;4.582501888E0;8.562862396E0
1.970836614E0;-1.574187636E0;4.264073372E0;8.785523415E0
1.988988614E0;-1.720233917E0;3.624821424E0;9.149441719E0
1.999236614E0;-1.641225219E0;3.660734415E0;9.266757965E0
2.018518614E0;-1.130063176E0;3.703830004E0;8.895656586E0
2.028951614E0;-1.028309584E0;3.875015497E0;9.093177795E0
2.050078614E0;-1.034295082E0;3.738545895E0;9.253589630E0
2.068811614E0;-1.279700756E0;2.932897091E0;9.412803650E0
2.089325614E0;-7.517793179E-1;3.179499865E0;9.320627213E0
2.100310614E0;-5.758054852E-1;3.581725836E0;9.227252960E0
2.118623614E0;-5.207388401E-1;4.157531261E0;9.536105156E0
2.128888614E0;-6.165069342E-1;4.232948780E0;1.017176628E1
2.149164614E0;-1.395819545E0;4.193444252E0;8.301894188E0
2.169413614E0;-1.784877419E0;3.362656355E0;8.477868080E0
2.185250614E0;-1.766920805E0;3.307589531E0;8.999804497E0
2.198931614E0;-1.537077546E0;3.262099743E0;1.038484955E1
2.209069614E0;-1.407790542E0;3.283647537E0;1.086129570E1
2.228694614E0;-1.200692177E0;3.406949043E0;1.008916569E1
2.248894614E0;-1.262941360E0;3.355473757E0;9.036913872E0
2.259429614E0;-1.331176162E0;3.223792553E0;8.894459724E0
2.278981614E0;-1.508347034E0;3.332728863E0;9.181763649E0
2.298498614E0;-1.100135684E0;3.557783842E0;9.595960617E0
2.318502614E0;-6.153098345E-1;3.919308186E0;1.009994030E1
2.328814614E0;-6.464344859E-1;4.000710964E0;9.750386238E0
2.339279614E0;-5.422866940E-1;4.121618271E0;9.281123161E0
2.358440614E0;-3.519476354E-1;4.229357243E0;8.890868187E0
2.368777614E0;-4.369418025E-1;4.277241230E0;8.461109161E0
2.379499614E0;-4.345476031E-1;4.277241230E0;8.242039680E0
2.398409614E0;-4.058171809E-1;4.422090530E0;8.167819023E0
