"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
8.600365000E-1;-4.553487301E-1;-1.564173222E0;-1.386199743E-1
8.700455000E-1;-4.406303167E-1;-1.482834816E0;-1.672267020E-1
8.800555000E-1;-3.759469390E-1;-1.380758286E0;-1.963118911E-1
8.900355000E-1;-2.684567273E-1;-1.298691511E0;-2.434124351E-1
9.000445000E-1;-1.406697631E-1;-1.237116575E0;-2.879386246E-1
9.100545000E-1;-3.378530592E-2;-1.178898096E0;-3.259990513E-1
9.200335000E-1;2.761786804E-2;-1.203053236E0;-3.666338325E-1
9.300435000E-1;4.548293352E-2;-1.262390256E0;-3.869771659E-1
9.400535000E-1;3.696188331E-2;-1.316885114E0;-3.786952794E-1
9.500635000E-1;-1.241617743E-2;-1.250871062E0;-3.335596025E-1
9.600425000E-1;-9.022868425E-2;-1.129952550E0;-3.048560619E-1
9.700525000E-1;-1.732143760E-1;-9.725636840E-1;-3.207846880E-1
9.800615000E-1;-2.414461672E-1;-7.584905624E-1;-3.439544737E-1
9.900415000E-1;-3.021478653E-1;-6.087119579E-1;-3.600753844E-1
1.000050500E0;-3.456338048E-1;-5.251547694E-1;-4.078077376E-1
1.010060500E0;-3.794320226E-1;-4.939870238E-1;-4.247036278E-1
1.020039500E0;-4.240476489E-1;-5.487253666E-1;-3.984054625E-1
1.030049500E0;-5.147383213E-1;-7.371813655E-1;-3.204821944E-1
1.040059500E0;-6.464852095E-1;-1.041462898E0;-1.831698567E-1
1.050069500E0;-8.147027493E-1;-1.416833520E0;-3.017445281E-2
1.060048500E0;-9.866896868E-1;-1.772425175E0;1.488946378E-1
1.070058500E0;-1.070686817E0;-2.054568052E0;3.405915201E-1
1.080067500E0;-1.028434873E0;-2.109287977E0;4.606790245E-1
1.090047500E0;-9.031671286E-1;-1.985639572E0;4.847613573E-1
1.100056500E0;-7.491021752E-1;-1.714785695E0;4.562937617E-1
1.110066500E0;-6.127908230E-1;-1.365398169E0;4.131043553E-1
1.120100750E0;-5.319439173E-1;-1.089685917E0;3.847853541E-1
1.130079750E0;-4.919512272E-1;-1.008714557E0;3.918038607E-1
1.140089750E0;-4.633741677E-1;-1.108403325E0;4.144886434E-1
1.150099750E0;-4.168115258E-1;-1.319640040E0;3.975081742E-1
1.160078750E0;-3.627322912E-1;-1.510605931E0;3.076046407E-1
1.170088750E0;-2.993178964E-1;-1.540870786E0;1.337117106E-1
1.180098750E0;-1.733011156E-1;-1.365278244E0;-5.434048176E-2
1.190077750E0;-3.244395182E-2;-1.061313152E0;-1.279218942E-1
1.200087750E0;-5.425790325E-2;-8.129874468E-1;-6.499911100E-2
1.210096750E0;-2.327741534E-1;-6.827188730E-1;-1.682691835E-2
1.220106750E0;-4.074482322E-1;-6.370419264E-1;-4.391499609E-2
1.230085750E0;-4.568370581E-1;-7.305665016E-1;-1.679237932E-1
1.240095750E0;-3.138668537E-1;-9.818218946E-1;-3.116444647E-1
1.250105750E0;-4.418741167E-2;-1.317564726E0;-4.303212762E-1
1.260084750E0;8.984629065E-2;-1.231632829E0;-4.589494467E-1
1.270094750E0;4.847965762E-2;-1.074843287E0;-4.105011225E-1
1.280104750E0;-9.529615194E-2;-9.754999280E-1;-1.818058938E-1
1.290113750E0;-2.193443626E-1;-1.201310873E0;4.062731937E-2
1.300093750E0;-2.240682691E-1;-1.630645394E0;9.650868922E-2
1.310102750E0;-1.173220873E-1;-2.051470995E0;-7.013573311E-3
1.320112750E0;4.372857884E-2;-2.317197561E0;-1.254137307E-1
1.330091750E0;2.230221331E-1;-2.369415522E0;-1.384508163E-1
1.340101750E0;3.369481862E-1;-2.162612438E0;-4.061160982E-2
1.350111750E0;2.736393809E-1;-1.644890070E0;1.242624819E-1
1.360090750E0;-2.631787956E-1;-4.546259344E-1;4.334701002E-1
1.370100750E0;-7.018412352E-1;4.651319981E-1;4.098774791E-1
1.380110750E0;-1.110600233E0;1.173937082E0;3.747442365E-1
1.390120750E0;-1.295713186E0;1.437526107E0;2.736184895E-1
1.400099750E0;-1.163335800E0;1.158206344E0;9.225643426E-2
1.410109750E0;-7.861496210E-1;5.068851709E-1;-8.666353673E-2
1.420118750E0;-3.339094222E-1;-2.834747732E-1;-2.024679035E-1
1.430098750E0;1.439233311E-3;-9.476277232E-1;-2.657250166E-1
1.440107750E0;1.488166898E-1;-1.398643136E0;-2.881506979E-1
1.450117750E0;1.825678647E-1;-1.569189906E0;-2.656894624E-1
1.460096750E0;2.201407850E-1;-1.479214311E0;-2.288297117E-1
1.470106750E0;2.904253900E-1;-1.164176226E0;-2.414863557E-1
1.480116750E0;3.516216278E-1;-6.883752346E-1;-2.728259265E-1
1.490126750E0;3.658230305E-1;-2.094405144E-1;-3.016310632E-1
1.500105750E0;3.502635360E-1;1.498284489E-1;-3.032603860E-1
1.510115750E0;3.117816448E-1;3.944423199E-1;-2.653871477E-1
1.520124750E0;2.420254797E-1;5.383446217E-1;-2.036276460E-1
1.530104750E0;9.522057325E-2;6.323472857E-1;-1.607600749E-1
1.540113750E0;-1.116636321E-1;6.520797610E-1;-1.509710848E-1
1.550123750E0;-2.708877623E-1;5.113808513E-1;-1.660430282E-1
1.560133750E0;-2.457059920E-1;3.369022906E-1;-2.209574133E-1
1.570112750E0;-4.834403470E-2;2.233892083E-1;-2.867160439E-1
1.580122750E0;1.961993873E-1;1.409649104E-1;-3.539342284E-1
1.590132750E0;4.044387341E-1;1.253499538E-1;-4.056160450E-1
1.600111750E0;4.989569783E-1;1.896642298E-1;-4.209577143E-1
1.610121750E0;4.833242297E-1;2.958853245E-1;-3.764844835E-1
1.620131750E0;3.961967826E-1;4.069921374E-1;-2.461152822E-1
1.630110750E0;2.582085133E-1;5.129957795E-1;-1.092518792E-1
1.640120750E0;8.005661517E-2;5.741376877E-1;-6.538189203E-2
1.650129750E0;-9.124531597E-2;5.672384501E-1;-1.195560545E-1
1.660139750E0;-1.837819070E-1;4.985285997E-1;-2.368810773E-1
1.670118750E0;-1.549689472E-1;4.179945290E-1;-3.783452809E-1
1.680128750E0;-4.000107944E-2;3.493075967E-1;-4.586625099E-1
1.690138750E0;4.445726052E-2;2.819835246E-1;-4.718851447E-1
1.700117750E0;5.664921552E-2;2.314950675E-1;-4.370608330E-1
1.710127750E0;1.676673442E-2;2.215401232E-1;-3.677746356E-1
1.720137750E0;-3.753192350E-2;2.503496706E-1;-2.796759307E-1
1.730116750E0;-9.808509797E-2;2.766750455E-1;-2.171121836E-1
1.740126750E0;-1.476380080E-1;3.040941656E-1;-1.901295632E-1
1.750135750E0;-1.813747585E-1;3.280098140E-1;-1.822409481E-1
1.760145750E0;-1.996235400E-1;3.118172586E-1;-1.446184814E-1
1.770124750E0;-2.108151615E-1;2.638866901E-1;-5.494545400E-2
1.780134750E0;-2.311542630E-1;1.587789208E-1;-1.687562093E-3
1.790144750E0;-2.180869728E-1;-1.869353838E-2;-2.023953199E-2
1.800123750E0;-1.641310602E-1;-2.687609196E-1;-5.281239003E-2
1.810133750E0;-8.603973687E-2;-5.309505463E-1;-2.897758596E-2
1.820143750E0;2.590677328E-2;-7.057085037E-1;5.482756346E-2
1.830153750E0;1.454750299E-1;-6.898152232E-1;1.752865463E-1
1.840132750E0;2.077759802E-1;-6.722517014E-1;3.087836206E-1
1.850142750E0;2.723776996E-1;-6.392133236E-1;4.489928186E-1
1.860151750E0;3.257551491E-1;-5.943664908E-1;5.757635236E-1
1.870131750E0;2.986334264E-1;-5.729781985E-1;6.947314143E-1
1.880140750E0;2.172179371E-1;-5.980097651E-1;8.383572698E-1
1.890150750E0;1.036369875E-1;-6.555438638E-1;1.017049551E0
1.900129750E0;-6.425187737E-2;-6.223713160E-1;1.143318534E0
1.910139750E0;-2.053284645E-1;-7.819349170E-1;1.265986800E0
1.920149750E0;-2.665806413E-1;-1.077062488E0;1.402200580E0
1.930159750E0;-2.453905642E-1;-1.437549710E0;1.539653540E0
1.940138750E0;-1.350262314E-1;-1.812269211E0;1.650410056E0
1.950148750E0;5.538359284E-2;-2.212553263E0;1.807942629E0
