"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
9.200479167E-1;3.068618774E-2;2.064057770E0;7.839647369E0
9.300269167E-1;8.472381592E-2;2.572849731E0;7.730524292E0
9.400369167E-1;1.901046753E-1;2.675236816E0;7.692203979E0
9.500469167E-1;5.387297058E-1;2.414029999E0;7.812553711E0
9.600569167E-1;9.478289795E-1;2.185605011E0;7.808063049E0
9.700359167E-1;1.264121246E0;2.211650848E0;7.857909393E0
9.800459167E-1;1.465452576E0;2.213447113E0;7.925718384E0
9.900549167E-1;1.575324097E0;2.125879211E0;7.787106628E0
1.000034917E0;1.545236664E0;1.969005432E0;7.666457520E0
1.010043917E0;1.432071991E0;1.875899048E0;7.550598450E0
1.020053917E0;1.158590698E0;1.953138428E0;7.311844940E0
1.030063917E0;8.921447754E-1;2.107018433E0;7.023245087E0
1.040042917E0;7.899073792E-1;2.266586609E0;7.074438629E0
1.050052917E0;7.842192078E-1;2.464175720E0;6.980134735E0
1.060062917E0;9.303153992E-1;2.546205139E0;6.647227020E0
1.070041917E0;1.133892059E0;2.426005096E0;6.439309387E0
1.080051917E0;1.405128021E0;2.537373505E0;6.116430817E0
1.090060917E0;1.836231537E0;2.480491791E0;6.059698792E0
1.100040917E0;1.673968964E0;2.465073853E0;6.403533783E0
1.110049917E0;1.487456818E0;2.821333008E0;6.539151764E0
1.120059917E0;1.139879608E0;3.390898590E0;6.255491638E0
1.130069917E0;1.189276886E0;3.797602844E0;6.293662262E0
1.140048917E0;1.595532074E0;3.632945251E0;6.163882141E0
1.150058917E0;1.966161346E0;3.427572327E0;5.681285706E0
1.160068917E0;2.492616577E0;3.039579163E0;5.780379639E0
1.170047917E0;3.215014343E0;3.055446167E0;6.097570038E0
1.180057917E0;4.319866791E0;3.284769287E0;5.817652130E0
1.190066917E0;5.225782928E0;2.518063660E0;6.506669312E0
1.200046917E0;5.375022583E0;2.234852600E0;7.753426666E0
1.210056917E0;3.741918640E0;2.329455872E0;7.694000244E0
1.220065917E0;3.857029266E0;2.347867584E0;7.202422485E0
1.230075917E0;4.721331940E0;1.889520721E0;6.766977997E0
1.240054917E0;4.207151184E0;1.027762756E0;5.934409332E0
1.250064917E0;4.902754669E0;2.718347168E-1;5.946534119E0
1.260074917E0;5.987698517E0;-2.552192688E-1;5.593717804E0
1.270053917E0;7.386689301E0;-6.116281128E-1;5.331313477E0
1.280063917E0;8.206085358E0;-1.034349060E0;5.637726288E0
1.290073917E0;7.521858215E0;-1.621727600E0;6.477180634E0
1.300082917E0;6.784491577E0;-2.388283539E0;7.023095398E0
1.310062917E0;7.040608978E0;-2.680775299E0;6.508465576E0
1.320071917E0;7.192842407E0;-2.317929840E0;5.882617035E0
1.330081917E0;6.776109009E0;-2.441572723E0;6.127507782E0
1.340060917E0;6.395749969E0;-2.368075562E0;6.312523041E0
1.350070917E0;5.924230499E0;-1.996697845E0;5.689069519E0
1.360080917E0;5.502108307E0;-1.923350372E0;4.830604706E0
1.370059917E0;5.967490540E0;-2.405198364E0;4.710254974E0
1.380069917E0;7.311545563E0;-3.329226837E0;5.046006775E0
1.390079917E0;8.811276855E0;-3.809278564E0;5.170996857E0
1.400088917E0;9.586664429E0;-3.850742340E0;5.556295624E0
1.410068917E0;9.976004791E0;-3.569477234E0;6.079906769E0
1.420077917E0;1.027134064E1;-3.116818542E0;5.970634003E0
1.430087917E0;1.017164795E1;-3.264411621E0;5.830076294E0
1.440066917E0;1.015263748E1;-3.636388092E0;5.823489990E0
1.450076917E0;1.072848999E1;-3.470682678E0;5.620512085E0
1.460086917E0;1.198632431E1;-2.877017212E0;6.093827820E0
1.470096917E0;1.376791946E1;-2.151026917E0;6.808142395E0
1.480075917E0;1.526121414E1;-1.293909302E0;7.366631012E0
1.490085917E0;1.606174942E1;-8.994795227E-1;8.047714691E0
1.500095917E0;1.683878357E1;-8.750802612E-1;7.957901459E0
1.510074917E0;1.672906174E1;-7.704478455E-1;7.250921631E0
1.520084917E0;1.534848267E1;-1.248403931E-1;6.990912323E0
1.530093917E0;1.384306320E1;5.516029358E-1;6.489006042E0
1.540073917E0;1.303624100E1;9.437873840E-1;5.692662048E0
1.550082917E0;1.294058990E1;1.369801483E0;5.246889038E0
1.560092917E0;1.326900696E1;2.087409210E0;4.555776215E0
1.570102917E0;1.366343674E1;2.997516632E0;4.564607849E0
1.580081917E0;1.290436523E1;3.331322479E0;4.897216187E0
1.590091917E0;1.243030106E1;3.023861847E0;4.565206604E0
1.600101917E0;1.175999496E1;2.353256378E0;4.158801727E0
1.610080917E0;1.113788864E1;2.091899872E0;3.897594910E0
1.620090917E0;1.060170364E1;1.992805939E0;3.719764709E0
1.630099917E0;9.061706085E0;1.538500671E0;2.791694641E0
1.640109917E0;8.342302094E0;1.278641052E0;2.323767700E0
1.650088917E0;7.509284363E0;6.993457031E-1;2.221530304E0
1.660098917E0;6.979985046E0;8.637039185E-2;2.031575317E0
1.670108917E0;6.890770569E0;-5.785469055E-1;1.799408112E0
1.680087917E0;6.674919434E0;-9.196875000E-1;1.516047363E0
1.690097917E0;6.668183441E0;-7.900570679E-1;1.665586395E0
1.700107917E0;6.796316986E0;-7.824229431E-1;2.086810455E0
1.710086917E0;7.144043884E0;-8.619076538E-1;2.454745331E0
1.720096917E0;7.942034454E0;-1.149459686E0;2.527044983E0
1.730106917E0;7.902366943E0;-1.612147522E0;2.233954468E0
1.740115917E0;7.982600098E0;-1.106199646E0;2.313588867E0
1.750095917E0;8.595276031E0;-1.814975739E0;2.927162933E0
1.760104917E0;9.448651428E0;-2.298470306E0;2.552791443E0
1.770114917E0;1.120000946E1;-2.207609253E0;2.530038757E0
1.780093917E0;1.284224442E1;-2.424657898E0;2.385888519E0
1.790103917E0;1.401640274E1;-2.569107513E0;2.710114288E0
1.800113917E0;1.409139679E1;-2.328408051E0;3.368295593E0
1.810092917E0;1.370295456E1;-2.676584015E0;4.475842438E0
1.820102917E0;1.295241531E1;-3.765569458E0;5.589227142E0
1.830112917E0;1.190773773E1;-4.762646027E0;6.145171051E0
1.840121917E0;1.111498627E1;-5.737718353E0;6.212530975E0
1.850101917E0;1.126377686E1;-6.320007477E0;5.810916138E0
1.860110917E0;9.878407745E0;-6.793173523E0;6.012397156E0
1.870120917E0;8.891959076E0;-6.893165588E0;5.751789093E0
1.880099917E0;8.772208099E0;-7.609276428E0;5.839506683E0
1.890104875E0;8.926686859E0;-8.221054230E0;4.482578430E0
1.900114875E0;9.264085236E0;-8.388406219E0;3.436703339E0
1.910124875E0;9.780361633E0;-7.430099030E0;1.736239471E0
1.920103875E0;1.021984772E1;-8.053103485E0;2.246827698E-1
1.930113875E0;9.825867004E0;-8.896749115E0;-6.596781921E-1
1.940123875E0;9.130562897E0;-8.686137085E0;-1.114282837E0
1.950102875E0;8.340805206E0;-8.285719757E0;-4.234693909E-1
1.960112875E0;7.601342926E0;-7.469317474E0;9.548643494E-1
1.970121875E0;7.676786041E0;-6.730004883E0;2.559527435E0
1.980101875E0;7.942184143E0;-6.289920044E0;4.024680634E0
1.990110875E0;8.216862946E0;-5.920039215E0;5.248535614E0
2.000120875E0;9.446106720E0;-5.588927765E0;6.682703247E0
2.010130875E0;1.052715866E1;-5.411546631E0;5.523364105E0
2.020109875E0;1.017928207E1;-3.593577118E0;2.812351685E0
2.030119875E0;9.851613464E0;-3.304528198E0;7.298522644E0
2.040129875E0;8.891360321E0;-3.540138245E0;1.156614807E1
2.050108875E0;1.050934570E1;-3.789220276E0;5.972729645E0
2.060118875E0;7.697443085E0;-3.503165131E0;5.251230011E0
2.070127875E0;7.768395538E0;-3.442541199E0;7.838898926E0
2.080137875E0;6.464457092E0;-3.383414154E0;6.285728760E0
