"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
1.731150000E0;5.550000072E-1;-1.313799977E0;2.052399874E0
1.751003125E0;-3.669999838E-1;-1.295199990E0;9.725999832E-1
1.770856250E0;-3.689999878E-1;-5.138999820E-1;-1.779999882E-1
1.790707812E0;-9.849999845E-2;1.428000033E-1;-1.501999944E-1
1.810560937E0;-2.560999990E-1;-1.948999912E-1;2.067999989E-1
1.830414062E0;-8.098999858E-1;-1.053499937E0;3.580999970E-1
1.850267187E0;-5.698999763E-1;-7.660999894E-1;1.970999986E-1
1.870118750E0;3.312999904E-1;-3.999999911E-2;-3.014999926E-1
1.889971875E0;1.662999988E-1;5.370000005E-2;-1.067600012E0
1.909825000E0;6.250000000E-2;-1.559000015E-1;-1.240199924E0
1.929676562E0;-1.794999987E-1;-6.552999616E-1;-3.102000058E-1
1.949529687E0;3.831000030E-1;3.419999778E-2;1.205500007E0
1.969382812E0;1.003899932E0;6.645999551E-1;1.630999923E0
1.989234375E0;8.824999928E-1;8.104999661E-1;1.081300020E0
2.009087500E0;6.376999617E-1;1.075299978E0;4.126999974E-1
2.028940625E0;7.954999804E-1;1.228500009E0;-3.339999914E-2
2.048793750E0;5.127999783E-1;8.150999546E-1;6.427999735E-1
2.068645312E0;-5.557000041E-1;1.735000014E-1;1.792099953E0
2.088498437E0;-7.468999624E-1;1.298999935E-1;1.545399904E0
2.108351562E0;-1.058099985E0;2.786000073E-1;9.106000066E-1
2.128203125E0;-1.166399956E0;6.958999634E-1;1.209299922E0
2.148056250E0;-9.399999976E-1;6.322000027E-1;1.303699970E0
2.167909375E0;-7.008999586E-1;7.276999950E-1;1.095099926E0
2.187760937E0;-9.918999672E-1;1.350999922E-1;8.476999998E-1
2.207614062E0;-8.027999997E-1;1.413999945E-1;1.254999936E-1
2.227467187E0;-1.651999950E-1;-3.826999962E-1;1.269000024E-1
2.247318750E0;2.979999781E-1;-8.040999770E-1;3.233000040E-1
2.267171875E0;8.779999614E-2;-1.480499983E0;7.159999758E-2
2.287025000E0;3.524000049E-1;-1.276600003E0;1.026999950E-1
2.306878125E0;6.414999962E-1;-8.100999594E-1;-8.035999537E-1
2.326729687E0;5.533999801E-1;-8.605999947E-1;-1.965399981E0
2.346582812E0;3.909999877E-2;-1.728699923E0;-2.042399883E0
2.366435937E0;1.325999945E-1;-1.987599969E0;-1.161199927E0
2.386287500E0;1.329999976E-2;-2.139199972E0;-9.779999852E-1
2.406140625E0;-2.052000016E-1;-1.462799907E0;-4.138000011E-1
2.425993750E0;-1.146899939E0;-1.040199995E0;-1.103199959E0
2.445845312E0;-1.795300007E0;-1.510299921E0;-1.747099996E0
2.465698437E0;-1.142300010E0;-1.643199921E0;-9.508999586E-1
2.485551562E0;2.179999948E-1;-1.426299930E0;1.163100004E0
2.505403125E0;5.503999591E-1;-8.894000053E-1;1.322999954E0
2.525256250E0;9.617999792E-1;1.072999984E-1;4.825999737E-1
2.545109375E0;2.345999926E-1;1.147799969E0;-7.202000022E-1
2.564962500E0;5.286999941E-1;9.922999740E-1;-1.050400019E0
2.584814062E0;9.465000033E-1;1.160899997E0;2.284999937E-1
2.604667187E0;1.756299973E0;7.608999610E-1;1.168299913E0
2.624520312E0;2.057800055E0;5.774999857E-1;2.042899847E0
2.644373437E0;1.698199987E0;7.904999852E-1;1.747599959E0
2.664225000E0;9.763999581E-1;5.511999726E-1;5.112999678E-1
2.684076562E0;4.336999953E-1;-1.825999916E-1;1.877999902E-1
2.703929687E0;1.077999994E-1;-1.105499983E0;1.253000021E0
2.723782812E0;-6.527000070E-1;-1.851099968E0;2.087899923E0
2.743635937E0;-1.753999889E-1;-1.792599916E0;1.375100017E0
2.763487500E0;4.718999863E-1;-6.969999671E-1;7.685999870E-1
2.783340625E0;3.349999785E-1;3.129000068E-1;-5.056999922E-1
2.803192187E0;4.649999738E-1;1.031499982E0;-1.362599969E0
2.823045312E0;-3.499999875E-3;5.963000059E-1;-6.090999842E-1
