"Time (s)"	"X (rad/s)"	"Y (rad/s)"	"Z (rad/s)"
7.251590000E-1	-1.872186363E-2	-5.909826234E-2	-1.084082648E-1
7.351690000E-1	-2.630903386E-2	-2.085489407E-2	-1.569804251E-1
7.451780000E-1	-2.357343398E-2	-1.680129394E-2	-1.995286793E-1
7.552031250E-1	-2.353288606E-2	-5.250088871E-2	-2.296265215E-1
7.652131250E-1	-2.466925606E-2	-1.193331853E-1	-2.553992569E-1
7.751921250E-1	-2.256421559E-2	-1.785410792E-1	-2.925691605E-1
7.852021250E-1	-8.256116882E-3	-2.364038527E-1	-3.270091712E-1
7.952121250E-1	2.995550632E-2	-2.635130286E-1	-3.511614799E-1
8.052211250E-1	8.017233759E-2	-2.459936887E-1	-3.677332699E-1
8.152011250E-1	1.159590185E-1	-1.715956330E-1	-3.760432601E-1
8.252101250E-1	4.216575623E-2	1.473722421E-2	-4.347577095E-1
8.352201250E-1	-5.006862432E-2	8.492181450E-2	-5.250975490E-1
8.452301250E-1	-9.693306684E-2	9.440559149E-2	-6.061684489E-1
8.552091250E-1	-6.866157055E-2	1.051746085E-1	-6.064783335E-1
8.652191250E-1	5.867443979E-4	1.169409901E-1	-5.513612628E-1
8.752291250E-1	8.533532917E-2	9.700280428E-2	-4.777352512E-1
8.852381250E-1	1.722278893E-1	2.849298343E-2	-3.981922269E-1
8.952481250E-1	2.776300609E-1	-1.271780133E-1	-2.946226001E-1
9.052271250E-1	3.246747851E-1	-2.544632554E-1	-2.450108677E-1
9.152371250E-1	2.607502937E-1	-2.825628221E-1	-1.983436048E-1
9.252471250E-1	1.572455019E-1	-3.040721118E-1	-1.991217732E-1
9.352571250E-1	1.116090193E-1	-3.735523224E-1	-2.595131695E-1
9.452361250E-1	1.136031970E-1	-3.654675186E-1	-3.081374466E-1
9.552461250E-1	1.241034195E-1	-2.782902718E-1	-3.316154480E-1
9.652561250E-1	1.367518306E-1	-2.387332767E-1	-3.759959638E-1
9.752651250E-1	1.872214228E-1	-2.479505390E-1	-4.374513626E-1
9.852451250E-1	2.213082910E-1	-1.503744572E-1	-4.827501178E-1
9.952541250E-1	2.466718554E-1	-3.624486923E-2	-5.133267045E-1
1.005264125E0	2.906808555E-1	5.843077600E-2	-4.907106161E-1
1.015274125E0	3.416424692E-1	1.135157347E-1	-4.300247133E-1
1.025253125E0	3.478468359E-1	1.615999043E-1	-4.071905017E-1
1.035263125E0	3.227707148E-1	1.519168913E-1	-4.311811924E-1
1.045273125E0	3.152339756E-1	7.859900594E-2	-4.305318892E-1
1.055282125E0	3.195537329E-1	-2.654722147E-2	-3.974655569E-1
1.065292125E0	3.090531528E-1	-8.916080743E-2	-3.861069083E-1
1.075271125E0	2.404482961E-1	-7.997354865E-2	-3.795915246E-1
1.085281125E0	1.364901960E-1	-3.579889983E-2	-3.594979942E-1
1.095291125E0	4.326109961E-2	-4.157272354E-2	-4.173680246E-1
1.105301125E0	-3.530907631E-2	-3.793032095E-2	-4.288973808E-1
1.115280125E0	-8.574898541E-2	-3.814088553E-2	-4.220420718E-1
1.125290125E0	-1.303428262E-1	-3.980775923E-2	-4.036175013E-1
1.135299125E0	-1.700851768E-1	-3.846339509E-2	-3.780623376E-1
1.145309125E0	-1.457169950E-1	-6.364677101E-2	-3.209806979E-1
1.155288125E0	-2.677397802E-2	-9.957566857E-2	-2.530074418E-1
1.165298125E0	6.881885976E-2	-1.888454705E-2	-2.139889300E-1
1.175308125E0	8.729295433E-2	1.175360158E-1	-1.964829266E-1
1.185318125E0	8.245904744E-2	1.833645701E-1	-1.925153434E-1
1.195328125E0	9.667312354E-2	1.893445551E-1	-1.843785644E-1
1.205307125E0	1.178899929E-1	1.856582165E-1	-1.811865121E-1
1.215317125E0	1.266588420E-1	1.842672825E-1	-1.988344640E-1
1.225326125E0	1.263451129E-1	1.624674499E-1	-2.427041680E-1
1.235336125E0	1.232803985E-1	9.193509817E-2	-2.790423036E-1
1.245315125E0	1.159543023E-1	1.113665011E-2	-2.887393832E-1
1.255325125E0	1.173798740E-1	-3.963152692E-2	-2.920169234E-1
1.265335125E0	9.301675111E-2	1.313128881E-2	-2.696934938E-1
1.275345125E0	7.945381850E-2	9.920419753E-2	-2.534708977E-1
1.285324125E0	1.141028777E-1	1.378341466E-1	-2.596848309E-1
1.295334125E0	1.730436087E-1	1.600536853E-1	-2.788703740E-1
1.305343125E0	1.954133660E-1	2.050246149E-1	-2.958613336E-1
1.315353125E0	1.832771450E-1	1.839968413E-1	-3.165025711E-1
1.325363125E0	1.653764397E-1	3.167867661E-2	-3.180269897E-1
1.335342125E0	1.621700823E-1	-1.590967923E-1	-3.189807832E-1
1.345352125E0	1.545012444E-1	-2.700573802E-1	-3.457769752E-1
1.355362125E0	1.420654804E-1	-3.026084304E-1	-3.674939871E-1
1.365371125E0	1.642355025E-1	-3.009426296E-1	-3.795639873E-1
1.375351125E0	1.999052465E-1	-2.358605266E-1	-3.850214183E-1
1.385361125E0	2.343886495E-1	-1.004822031E-1	-3.742808700E-1
1.395370125E0	2.329363078E-1	7.174780220E-2	-3.889978230E-1
1.405380125E0	1.960539222E-1	2.506778538E-1	-3.974235356E-1
1.415359125E0	1.589902788E-1	3.086208105E-1	-4.462258518E-1
1.425369125E0	1.570317894E-1	2.981828153E-1	-4.704502225E-1
1.435379125E0	1.421885043E-1	2.285368592E-1	-5.990529060E-1
1.445389125E0	7.049433887E-2	2.503729165E-1	-6.125303507E-1
1.455398125E0	-3.221027926E-2	3.748602271E-1	-7.461095452E-1
1.465378125E0	-8.461968601E-2	3.730735183E-1	-8.107894659E-1
1.475387125E0	-4.027382657E-2	2.676541805E-1	-8.147721887E-1
1.485397125E0	3.816079348E-2	1.723367423E-1	-7.984680533E-1
1.495407125E0	6.142657250E-2	1.188885346E-1	-7.902825475E-1
1.505386125E0	7.487766445E-2	9.526017308E-2	-8.167791367E-1
1.515396125E0	8.096240461E-2	5.047103018E-2	-7.847332358E-1
1.525406125E0	6.977605820E-2	-3.394558281E-2	-7.067852020E-1
1.535415125E0	5.868954957E-2	-1.547429711E-1	-6.154133081E-1
1.545395125E0	5.223806947E-4	-3.254995346E-1	-4.521293640E-1
1.555404125E0	3.418462723E-2	-1.993467510E-1	-4.538045526E-1
1.565414125E0	1.318195760E-1	4.288559407E-2	-4.658415020E-1
1.575424125E0	1.887696087E-1	1.299372315E-1	-4.207676053E-1
1.585434125E0	7.761139423E-2	-2.164127231E-1	-1.391913295E-1
1.595413125E0	-8.894111216E-2	-4.788300693E-1	1.542860456E-2
1.605423125E0	-2.317872047E-1	-5.951175094E-1	6.563744694E-2
1.615433125E0	-2.800843716E-1	-6.520982981E-1	8.280272782E-2
1.625442125E0	-2.141567618E-1	-6.245265603E-1	7.787827402E-2
1.635422125E0	-5.496235192E-2	-5.379817486E-1	8.559566736E-2
1.645431125E0	1.627191007E-1	-3.973985314E-1	9.801771492E-2
1.655441125E0	3.762960434E-1	-1.849828064E-1	9.940264374E-2
1.665451125E0	5.685528517E-1	4.507515579E-2	1.067934483E-1
1.675430125E0	6.844652891E-1	2.342969328E-1	7.329872996E-2
1.685440125E0	6.849510670E-1	3.685513735E-1	-1.732784510E-2
1.695450125E0	6.202005744E-1	4.404592812E-1	-1.180420220E-1
1.705459125E0	5.202177763E-1	4.353404045E-1	-1.946771443E-1
1.715439125E0	3.785785139E-1	3.354016840E-1	-2.218898684E-1
1.725448125E0	2.457751781E-1	1.569552571E-1	-1.959690601E-1
1.735458125E0	1.393822730E-1	-4.237357061E-3	-1.316158026E-1
1.745468125E0	5.909035355E-2	-1.145356372E-1	-5.907848477E-2
1.755470375E0	7.598666474E-3	-1.568886787E-1	-9.761537425E-3
1.765449375E0	-4.573725909E-2	-1.056702361E-1	-2.392848954E-2
1.775459375E0	-7.819069177E-2	-1.007933170E-3	-5.458620191E-2
1.785468375E0	-6.294809282E-2	1.102307066E-1	-6.627029181E-2
1.795478375E0	4.929331131E-3	2.201836854E-1	-5.420052633E-2
1.805457375E0	1.263295263E-1	3.559220731E-1	-1.876211166E-2
1.815467375E0	2.680166662E-1	4.970230758E-1	7.303733379E-3
1.825477375E0	3.829112947E-1	5.912073851E-1	3.007242829E-2
1.835487375E0	4.497549534E-1	6.047234535E-1	5.866912007E-2
1.845466375E0	4.628950059E-1	5.753083229E-1	4.291412607E-2
1.855476375E0	4.440800250E-1	5.265002847E-1	2.236274257E-2
1.865486375E0	4.196377993E-1	5.036814809E-1	2.361070365E-3
1.875495375E0	4.227389395E-1	5.204367042E-1	-2.741260082E-2
1.885505375E0	4.391988814E-1	6.237990260E-1	-4.966224730E-2
1.895484375E0	4.838919640E-1	7.974553704E-1	-6.278454512E-2
1.905494375E0	5.431411862E-1	1.001702547E0	-9.325163811E-2
1.915504375E0	6.306504607E-1	1.123245955E0	-1.303123236E-1
1.925514375E0	7.269492745E-1	1.184898138E0	-1.709521711E-1
1.935493375E0	8.129650354E-1	1.231465459E0	-2.188333869E-1
1.945503375E0	8.800641298E-1	1.318182707E0	-2.676944137E-1
1.955512375E0	9.221950173E-1	1.433728337E0	-3.315424621E-1
1.965522375E0	9.117687345E-1	1.555626273E0	-3.572222590E-1
1.975501375E0	8.665055633E-1	1.651169658E0	-3.350222111E-1
1.985511375E0	7.849180102E-1	1.710243344E0	-2.937724888E-1
1.995521375E0	6.659654379E-1	1.671188116E0	-2.379580736E-1
2.005531375E0	5.396059155E-1	1.560070395E0	-2.067170739E-1
2.015540375E0	4.238463938E-1	1.450505614E0	-2.388856709E-1
2.025520375E0	3.431281149E-1	1.363112688E0	-2.957252562E-1
2.035530375E0	2.968858480E-1	1.297594786E0	-3.441317677E-1
2.045539375E0	2.833133042E-1	1.324824452E0	-3.928159475E-1
2.055549375E0	2.394219041E-1	1.486808300E0	-4.715201259E-1
2.065528375E0	1.531903446E-1	1.697463632E0	-5.475824475E-1
2.075538375E0	2.442092448E-2	1.877595782E0	-6.141979694E-1
2.085548375E0	-1.495277137E-1	1.976803303E0	-7.045392990E-1
2.095558375E0	-3.038317859E-1	1.901068687E0	-7.809469700E-1
2.105537375E0	-4.050915539E-1	1.712414026E0	-8.475078940E-1
2.115547375E0	-4.109773934E-1	1.425970793E0	-8.992912173E-1
2.125556375E0	-3.197779953E-1	1.105797291E0	-9.026326537E-1
2.135566375E0	-2.018363178E-1	8.472865224E-1	-8.605533242E-1
2.145576375E0	-9.709844738E-2	7.101175189E-1	-7.997991443E-1
2.155555375E0	-8.558316529E-2	7.392801046E-1	-7.296401858E-1
2.165565375E0	-1.807174087E-1	9.393487573E-1	-6.673147678E-1
2.175575375E0	-3.360947371E-1	1.263504386E0	-6.302693486E-1
2.185584375E0	-4.607977867E-1	1.572025537E0	-6.471937895E-1
2.195564375E0	-5.103951097E-1	1.769286394E0	-6.923322678E-1
2.205573375E0	-4.687070847E-1	1.819923401E0	-7.130090594E-1
2.215583375E0	-3.091432750E-1	1.769466162E0	-6.942840815E-1
2.225593375E0	-1.176894158E-1	1.721733332E0	-6.972596049E-1
2.235572375E0	4.734728113E-2	1.674792051E0	-7.225492001E-1
2.245582375E0	1.442229599E-1	1.612357259E0	-7.500787973E-1
2.255592375E0	1.568010896E-1	1.559948683E0	-7.728533745E-1
2.265602375E0	1.142658889E-1	1.546743393E0	-7.817803025E-1
2.275581375E0	1.118510216E-2	1.555707216E0	-7.654677629E-1
2.285591375E0	-8.575022966E-2	1.460941553E0	-7.408998013E-1
2.295600375E0	-1.738881320E-1	1.372757554E0	-7.220928073E-1
2.305610375E0	-1.525159925E-1	1.263580680E0	-7.349100709E-1
2.315620375E0	-3.292612359E-2	1.217433453E0	-7.767819762E-1
2.325599375E0	2.165406942E-1	1.258048534E0	-7.974520922E-1
2.335609375E0	5.821336508E-1	1.353603601E0	-7.679098845E-1
2.345619375E0	9.520730972E-1	1.542034745E0	-7.651090026E-1
2.355628375E0	1.232341886E0	1.797818422E0	-7.727235556E-1
2.365608375E0	1.320917130E0	2.090312243E0	-8.052631617E-1
2.375617375E0	1.223812342E0	2.306435108E0	-8.364270926E-1
2.385627375E0	1.008928299E0	2.404342890E0	-8.337578177E-1
2.395637375E0	7.219018340E-1	2.331636667E0	-8.448169231E-1
2.405616375E0	3.526017964E-1	2.073376656E0	-8.326917887E-1
2.415626375E0	9.790055454E-2	1.665722728E0	-8.429022431E-1
2.425636375E0	9.656450711E-3	1.173685074E0	-8.547974825E-1
2.435645375E0	-2.003996819E-2	6.546010375E-1	-8.789649010E-1
2.445655375E0	-1.115648225E-1	2.050769925E-1	-9.125130177E-1
2.455634375E0	-2.798217535E-1	6.756181829E-3	-9.526782632E-1
2.465644375E0	-4.040110707E-1	4.790787771E-2	-9.390208125E-1
2.475654375E0	-4.063520730E-1	2.662434578E-1	-9.211465716E-1
2.485664375E0	-3.361396790E-1	6.760466695E-1	-8.204076886E-1
2.495643375E0	-2.169755995E-1	1.039258003E0	-7.553219199E-1
2.505653375E0	-1.154790819E-1	1.223580122E0	-7.078460455E-1
2.515663375E0	2.766826376E-2	1.135147452E0	-7.159771919E-1
2.525672375E0	1.526959538E-1	8.803728223E-1	-7.149620056E-1
2.535652375E0	2.316346318E-1	6.754435301E-1	-7.296316624E-1
2.545661375E0	2.337366641E-1	4.967792332E-1	-8.852457404E-1
2.555671375E0	8.103912324E-2	2.965055406E-1	-9.685517550E-1
2.565681375E0	-1.103105992E-1	9.307734668E-2	-9.309926629E-1
2.575691375E0	-2.370445728E-1	7.833761722E-2	-8.499269485E-1
2.585670375E0	-2.088888288E-1	2.372708023E-1	-7.782127857E-1
